No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
44.0,Matthew Adams,27.0,LB,10,3.0,230.0,6-0,Houston,12/12/1995,4,2.0,Indianapolis Colts / 7th / 221st pick / 2018
47.0,Chase Allen,25.0,TE,1,0.0,250.0,6-7,Iowa St.,7/9/1997,Rook,0.0,
10.0,Michael Badgley,27.0,K,1,0.0,188.0,5-10,Miami (FL),7/28/1995,4,1.0,
90.0,Angelo Blackson,30.0,DT,15,4.0,318.0,6-4,Auburn,11/14/1992,7,2.0,Tennessee Titans / 4th / 100th pick / 2015
39.0,Josh Blackwell,23.0,DB,16,1.0,179.0,5-11,Duke,4/5/1999,Rook,1.0,
35.0,Khari Blasingame,26.0,FB,16,6.0,233.0,6-0,Vanderbilt,7/1/1996,3,0.0,
20.0,Breon Borders,27.0,DB,1,0.0,189.0,6-0,Duke,7/22/1995,5,0.0,
75.0,Larry Borom,23.0,RT,13,9.0,325.0,6-5,Missouri,3/30/1999,1,5.0,Chicago Bears / 5th / 151st pick / 2021
17.0,Tim Boyle,28.0,QB,1,0.0,233.0,6-4,"Connecticut,Eastern Kentucky",10/3/1994,3,0.0,
9.0,Jaquan Brisker,23.0,FS,15,15.0,204.0,6-1,"Lackawanna,Penn St.",4/20/1999,Rook,4.0,Chicago Bears / 2nd / 48th pick / 2022
94.0,Andrew Brown,27.0,DT,5,0.0,290.0,6-3,Virginia,12/30/1995,3,0.0,Cincinnati Bengals / 5th / 158th pick / 2018
69.0,Ja'Tyre Carter,23.0,T,3,0.0,311.0,6-3,Southern,1/15/1999,Rook,0.0,Chicago Bears / 7th / 226th pick / 2022
97.0,Taco Charlton,28.0,DE,5,0.0,270.0,6-6,Michigan,11/7/1994,5,0.0,Dallas Cowboys / 1st / 28th pick / 2017
10.0,Chase Claypool,24.0,WR,7,3.0,238.0,6-4,Notre Dame,7/7/1998,2,2.0,Pittsburgh Steelers / 2nd / 49th pick / 2020
23.0,Adrian Colbert,29.0,DB,2,0.0,205.0,6-2,Miami (FL),10/6/1993,5,0.0,San Francisco 49ers / 7th / 229th pick / 2017
29.0,Dane Cruikshank,27.0,DB,8,0.0,209.0,6-1,Arizona,4/27/1995,4,0.0,Tennessee Titans / 5th / 152nd pick / 2018
25.0,Trestan Ebner,23.0,RB,17,0.0,215.0,5-11,Baylor,1/2/1999,Rook,0.0,Chicago Bears / 6th / 203rd pick / 2022
60.0,Dieter Eiselen,26.0,G,11,0.0,300.0,6-4,Yale,6/10/1996,2,1.0,
21.0,Darrynton Evans,24.0,RB,6,0.0,203.0,5-10,Appalachian St.,7/9/1998,2,1.0,Tennessee Titans / 3rd / 93rd pick / 2020
1.0,Justin Fields,23.0,QB,15,15.0,227.0,6-3,"Georgia,Ohio St.",3/5/1999,1,16.0,Chicago Bears / 1st / 11th pick / 2021
43.0,DeMarquis Gates,26.0,LB,3,0.0,221.0,6-2,Mississippi,3/7/1996,1,0.0,
16.0,Trenton Gill,23.0,P,17,0.0,219.0,6-4,North Carolina St.,3/5/1999,Rook,2.0,Chicago Bears / 7th / 255th pick / 2022
99.0,Trevis Gipson,25.0,LDE,17,10.0,263.0,6-4,Tulsa,6/13/1997,2,4.0,Chicago Bears / 5th / 155th pick / 2020
6.0,Kyler Gordon,23.0,RCB,14,14.0,200.0,5-11,Washington,12/17/1999,Rook,4.0,Chicago Bears / 2nd / 39th pick / 2022
98.0,Gerri Green,27.0,DE,1,0.0,252.0,6-4,Mississippi St.,9/14/1995,1,0.0,Indianapolis Colts / 6th / 199th pick / 2019
84.0,Ryan Griffin,32.0,TE,15,0.0,255.0,6-6,Connecticut,1/11/1990,9,0.0,Houston Texans / 6th / 201st pick / 2013
30.0,Harrison Hand,24.0,CB,4,1.0,185.0,5-11,"Baylor,Temple",11/12/1998,2,0.0,Minnesota Vikings / 5th / 169th pick / 2020
8.0,N'Keal Harry,25.0,WR,7,0.0,225.0,6-4,Arizona St.,12/17/1997,3,1.0,New England Patriots / 1st / 32nd pick / 2019
24.0,Khalil Herbert,24.0,RB,13,1.0,212.0,5-9,"Kansas,Virginia Tech",4/21/1998,1,5.0,Chicago Bears / 6th / 217th pick / 2021
37.0,Elijah Hicks,23.0,DB,15,2.0,204.0,5-11,California,10/16/1999,Rook,1.0,Chicago Bears / 7th / 254th pick / 2022
95.0,Jalyn Holmes,26.0,DE,1,0.0,283.0,6-5,Ohio St.,1/25/1996,4,0.0,Minnesota Vikings / 4th / 102nd pick / 2018
36.0,DeAndre Houston-Carson,29.0,SS,17,6.0,203.0,6-1,William & Mary,4/13/1993,6,2.0,Chicago Bears / 6th / 185th pick / 2016
4.0,Eddie Jackson,29.0,SS,12,12.0,202.0,6-0,Alabama,12/10/1993,5,4.0,Chicago Bears / 4th / 112th pick / 2017
23.0,Lamar Jackson,24.0,DB,5,0.0,212.0,6-2,Nebraska,4/13/1998,2,0.0,
76.0,Teven Jenkins,24.0,RG,13,11.0,321.0,6-6,Oklahoma St.,3/3/1998,1,5.0,Chicago Bears / 2nd / 39th pick / 2021
33.0,Jaylon Johnson,23.0,LCB,11,11.0,195.0,6-0,Utah,4/19/1999,2,3.0,Chicago Bears / 2nd / 50th pick / 2020
59.0,Kingsley Jonathan,24.0,DE,5,0.0,260.0,6-4,Syracuse,4/28/1998,Rook,0.0,
70.0,Braxton Jones,23.0,LT,17,17.0,303.0,6-5,Southern Utah,3/27/1999,Rook,8.0,Chicago Bears / 5th / 168th pick / 2022
