No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
33.0,Brian Asamoah,22.0,LB,16,0.0,226.0,6-0,Oklahoma,3/29/2000,Rook,1.0,Minnesota Vikings / 3rd / 66th pick / 2022
27.0,Kalon Barnes,24.0,CB,2,0.0,186.0,6-0,Baylor,12/16/1998,Rook,0.0,Carolina Panthers / 7th / 242nd pick / 2022
96.0,Ross Blacklock,24.0,DT,11,0.0,290.0,6-3,TCU,7/9/1998,2,1.0,Houston Texans / 2nd / 40th pick / 2020
23.0,Andrew Booth,22.0,CB,6,1.0,194.0,6-0,Clemson,9/28/2000,Rook,1.0,Minnesota Vikings / 2nd / 42nd pick / 2022
29.0,Kris Boyd,26.0,DB,17,0.0,201.0,5-11,Texas,9/12/1996,3,1.0,Minnesota Vikings / 7th / 217th pick / 2019
56.0,Garrett Bradbury,27.0,C,12,12.0,300.0,6-3,North Carolina St.,6/20/1995,3,5.0,Minnesota Vikings / 1st / 18th pick / 2019
64.0,Blake Brandel,25.0,T,9,3.0,315.0,6-6,Oregon St.,1/23/1997,1,2.0,Minnesota Vikings / 6th / 203rd pick / 2020
79.0,Jonathan Bullard,29.0,LDE,12,7.0,290.0,6-3,Florida,10/22/1993,6,3.0,Chicago Bears / 3rd / 72nd pick / 2016
24.0,Camryn Bynum,24.0,FS,17,17.0,200.0,6-0,California,7/19/1998,1,6.0,Minnesota Vikings / 4th / 125th pick / 2021
32.0,Ty Chandler,24.0,RB,3,0.0,204.0,5-11,"Tennessee,North Carolina",5/12/1998,Rook,0.0,Minnesota Vikings / 5th / 169th pick / 2022
85.0,Dan Chisena,25.0,WR,2,0.0,203.0,6-3,Penn St.,2/25/1997,2,0.0,
6.0,Lewis Cine,23.0,S,3,0.0,199.0,6-2,Georgia,10/5/1999,Rook,0.0,Minnesota Vikings / 1st / 32nd pick / 2022
72.0,Ezra Cleveland,24.0,LG,17,17.0,312.0,6-6,Boise St.,5/8/1998,2,7.0,Minnesota Vikings / 2nd / 58th pick / 2020
57.0,Ryan Connelly,27.0,LB,1,0.0,234.0,6-2,Wisconsin,10/3/1995,3,0.0,New York Giants / 5th / 143rd pick / 2019
4.0,Dalvin Cook,27.0,RB,17,17.0,210.0,5-10,Florida St.,8/10/1995,5,10.0,Minnesota Vikings / 2nd / 41st pick / 2017
8.0,Kirk Cousins,34.0,QB,17,17.0,205.0,6-3,Michigan St.,8/19/1988,10,13.0,Washington Redskins / 4th / 102nd pick / 2012
27.0,Cameron Dantzler,24.0,LCB,10,9.0,188.0,6-2,Mississippi St.,9/3/1998,2,3.0,Minnesota Vikings / 3rd / 89th pick / 2020
