No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
63.0,Oday Aboushi,31.0,G,15,4.0,308.0,6-5,Virginia,6/5/1991,8,3.0,New York Jets / 5th / 141st pick / 2013
23.0,Cam Akers,23.0,RB,15,9.0,217.0,5-10,Florida St.,6/22/1999,2,6.0,Los Angeles Rams / 2nd / 52nd pick / 2020
55.0,Brian Allen,27.0,C,7,7.0,303.0,6-2,Michigan St.,10/11/1995,4,3.0,Los Angeles Rams / 4th / 111th pick / 2018
72.0,Tremayne Anchrum,24.0,G,2,1.0,314.0,6-2,Clemson,6/24/1998,2,0.0,Los Angeles Rams / 7th / 250th pick / 2020
61.0,AJ Arcuri,25.0,T,8,1.0,308.0,6-7,Michigan St.,8/13/1997,Rook,1.0,Los Angeles Rams / 7th / 261st pick / 2022
15.0,Tutu Atwell,23.0,WR,13,4.0,165.0,5-9,Louisville,10/7/1999,1,3.0,Los Angeles Rams / 2nd / 57th pick / 2021
85.0,Kendall Blanton,27.0,TE,4,0.0,260.0,6-6,Missouri,11/10/1995,3,0.0,
67.0,Chandler Brewer,25.0,G,6,4.0,320.0,6-6,Middle Tenn. St.,6/12/1997,3,2.0,
95.0,Bobby Brown,22.0,DT,9,1.0,332.0,6-4,Texas A&M,8/7/2000,1,1.0,Los Angeles Rams / 4th / 117th pick / 2021
90.0,Earnest Brown IV,23.0,DE,5,3.0,270.0,6-5,Northwestern,1/8/1999,1,1.0,Los Angeles Rams / 5th / 174th pick / 2021
41.0,Malcolm Brown,29.0,RB,11,0.0,225.0,5-11,Texas,5/15/1993,7,1.0,
26.0,Terrell Burgess,24.0,S,7,1.0,202.0,5-11,Utah,11/12/1998,2,1.0,Los Angeles Rams / 3rd / 104th pick / 2020
49.0,Roger Carter,23.0,TE,1,0.0,250.0,6-2,Georgia St.,3/31/1999,Rook,0.0,
20.0,T.J. Carter,23.0,CB,1,0.0,193.0,5-11,"Memphis,TCU",4/3/1999,Rook,0.0,
98.0,T.J. Carter,24.0,DE,2,0.0,289.0,6-4,Kentucky,9/15/1998,1,0.0,
93.0,Marquise Copeland,25.0,DL,15,9.0,287.0,6-2,Cincinnati,5/9/1997,2,4.0,
11.0,Riley Dixon,29.0,P,17,0.0,221.0,6-4,Syracuse,8/24/1993,6,3.0,Denver Broncos / 7th / 228th pick / 2016
99.0,Aaron Donald,31.0,DT,11,11.0,280.0,6-1,Pittsburgh,5/23/1991,8,8.0,St. Louis Rams / 1st / 13th pick / 2014
14.0,Cobie Durant,24.0,DB,13,1.0,182.0,5-11,South Carolina St.,2/9/1998,Rook,2.0,Los Angeles Rams / 4th / 142nd pick / 2022
73.0,David Edwards,25.0,LG,4,4.0,308.0,6-6,Wisconsin,3/20/1997,3,2.0,Los Angeles Rams / 5th / 169th pick / 2019
71.0,Bobby Evans,25.0,G,12,4.0,312.0,6-4,Oklahoma,3/24/1997,3,2.0,Los Angeles Rams / 3rd / 97th pick / 2019
54.0,Leonard Floyd,30.0,ROLB,17,17.0,240.0,6-3,Georgia,9/8/1992,6,8.0,Chicago Bears / 1st / 9th pick / 2016
4.0,Jordan Fuller,24.0,DB,3,1.0,203.0,6-2,Ohio St.,3/4/1998,2,0.0,Los Angeles Rams / 6th / 199th pick / 2020
34.0,Jake Funk,24.0,RB,5,0.0,205.0,5-10,Maryland,1/11/1998,1,0.0,Los Angeles Rams / 7th / 233rd pick / 2021
91.0,Greg Gaines,26.0,NT,16,12.0,312.0,6-1,Washington,5/6/1996,3,5.0,Los Angeles Rams / 4th / 134th pick / 2019
8.0,Matt Gay,28.0,K,17,0.0,232.0,6-0,Utah,3/15/1994,3,5.0,Tampa Bay Buccaneers / 5th / 145th pick / 2019
39.0,Jake Gervase,27.0,LB,14,0.0,212.0,6-1,Iowa,9/18/1995,3,1.0,
36.0,Grant Haley,26.0,DB,4,1.0,190.0,5-9,Penn St.,1/6/1996,4,0.0,
44.0,Daniel Hardy,24.0,LB,6,0.0,255.0,6-2,Montana St.,12/15/1998,Rook,0.0,Los Angeles Rams / 7th / 235th pick / 2022
87.0,Jacob Harris,25.0,WR,7,0.0,211.0,6-5,"Western Kentucky,Central Florida",4/16/1997,1,0.0,Los Angeles Rams / 4th / 141st pick / 2021
