No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
59.0,Genard Avery,27.0,LB,9,0.0,250.0,6-0,Memphis,4/26/1995,4,1.0,Cleveland Browns / 5th / 150th pick / 2018
58.0,Shaquil Barrett,30.0,ROLB,8,8.0,250.0,6-2,"Nebraska-Omaha,Colorado St.",11/17/1992,7,4.0,
15.0,Cole Beasley,33.0,WR,2,0.0,174.0,5-8,SMU,4/26/1989,10,0.0,
25.0,Giovani Bernard,31.0,RB,8,0.0,205.0,5-9,North Carolina,11/22/1991,9,0.0,Cincinnati Bengals / 2nd / 37th pick / 2013
12.0,Tom Brady,45.0,QB,17,17.0,225.0,6-4,Michigan,8/3/1977,22,10.0,New England Patriots / 6th / 199th pick / 2000
84.0,Cameron Brate,31.0,TE,11,1.0,245.0,6-5,Harvard,7/3/1991,8,1.0,
52.0,K.J. Britt,23.0,LB,12,0.0,240.0,6-0,Auburn,6/4/1999,1,1.0,Tampa Bay Buccaneers / 5th / 176th pick / 2021
5.0,Jake Camarda,23.0,P,17,0.0,193.0,6-1,Georgia,4/20/1999,Rook,4.0,Tampa Bay Buccaneers / 4th / 133rd pick / 2022
37.0,Anthony Chesley,27.0,CB,7,0.0,190.0,6-0,Coastal Carolina,5/31/1995,2,0.0,
1.0,Jaelon Darden,23.0,WR,12,0.0,175.0,5-8,North Texas,1/14/1999,1,0.0,Tampa Bay Buccaneers / 4th / 129th pick / 2021
54.0,Lavonte David,32.0,RILB,17,17.0,233.0,6-1,"Fort Scott (KS),Nebraska",1/23/1990,10,9.0,Tampa Bay Buccaneers / 2nd / 58th pick / 2012
24.0,Carlton Davis,26.0,LCB,13,13.0,206.0,6-1,Auburn,12/31/1996,4,5.0,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018
35.0,Jamel Dean,26.0,RCB,15,15.0,206.0,6-1,Auburn,10/15/1996,3,6.0,Tampa Bay Buccaneers / 3rd / 94th pick / 2019
30.0,Dee Delaney,27.0,DB,17,1.0,200.0,5-11,"The Citadel,Miami (FL)",2/20/1995,4,1.0,
32.0,Mike Edwards,26.0,FS,13,12.0,205.0,5-10,"Kentucky,Hawaii",5/18/1996,3,6.0,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
13.0,Mike Evans,29.0,WR,15,15.0,231.0,6-5,Texas A&M,8/21/1993,8,7.0,Tampa Bay Buccaneers / 1st / 7th pick / 2014
53.0,Olakunle Fatukasi,23.0,DE,13,0.0,238.0,6-2,Rutgers,6/11/1999,Rook,1.0,
7.0,Leonard Fournette,27.0,RB,16,9.0,228.0,6-0,LSU,1/18/1995,5,7.0,Jacksonville Jaguars / 1st / 4th pick / 2017
11.0,Blaine Gabbert,33.0,QB,1,0.0,233.0,6-4,Missouri,10/15/1989,11,0.0,Jacksonville Jaguars / 1st / 10th pick / 2011
17.0,Russell Gage,26.0,WR,13,4.0,184.0,6-0,LSU,1/22/1996,4,3.0,Atlanta Falcons / 6th / 194th pick / 2018
36.0,Don Gardner,25.0,CB,1,0.0,180.0,6-1,South Dakota St.,12/9/1997,Rook,0.0,
80.0,Kaylon Geiger,25.0,WR,3,0.0,180.0,5-10,"Navarro,Troy,Texas Tech",11/1/1997,Rook,0.0,
92.0,William Gholston,31.0,LDE,17,9.0,281.0,6-6,Michigan St.,7/31/1991,9,5.0,Tampa Bay Buccaneers / 4th / 126th pick / 2013
57.0,Ulysees Gilbert,25.0,LB,3,0.0,230.0,6-0,Akron,8/9/1997,3,0.0,Pittsburgh Steelers / 6th / 207th pick / 2019
