No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
29.0,Paulson Adebo,23.0,LCB,13,12.0,192.0,6-1,Stanford,7/3/1999,1,4.0,New Orleans Saints / 3rd / 76th pick / 2021
68.0,Josh Andrews,31.0,C,6,5.0,298.0,6-2,Oregon St.,6/21/1991,7,2.0,
53.0,Zack Baun,26.0,LB,13,1.0,225.0,6-3,Wisconsin,12/30/1996,2,1.0,New Orleans Saints / 3rd / 74th pick / 2020
31.0,Eno Benjamin,23.0,RB,3,0.0,207.0,5-9,Arizona St.,4/13/1999,1,0.0,Arizona Cardinals / 7th / 222nd pick / 2020
1.0,Marquez Callaway,24.0,WR,14,3.0,204.0,6-2,Tennessee,3/27/1998,2,1.0,
14.0,Andy Dalton,35.0,QB,14,14.0,220.0,6-2,TCU,10/29/1987,11,8.0,Cincinnati Bengals / 2nd / 35th pick / 2011
92.0,Marcus Davenport,26.0,RDE,15,9.0,285.0,6-6,Texas-San Antonio,9/4/1996,4,5.0,New Orleans Saints / 1st / 14th pick / 2018
56.0,Demario Davis,33.0,MLB,17,17.0,248.0,6-2,Arkansas St.,1/11/1989,10,15.0,New York Jets / 3rd / 77th pick / 2012
65.0,Wyatt Davis,23.0,G,1,0.0,315.0,6-4,Ohio St.,2/17/1999,1,0.0,Minnesota Vikings / 3rd / 86th pick / 2021
50.0,Andrew Dowell,26.0,LB,17,0.0,225.0,6-1,Michigan St.,11/16/1996,2,1.0,
79.0,Yasir Durant,24.0,G,1,0.0,330.0,6-6,Missouri,5/21/1998,2,0.0,
55.0,Kaden Elliss,27.0,RLB,17,11.0,240.0,6-2,Idaho,7/10/1995,3,6.0,New Orleans Saints / 7th / 244th pick / 2019
30.0,Justin Evans,27.0,S,15,4.0,199.0,6-0,"Mississippi Gulf Coast CC,Texas A&M",8/26/1995,5,2.0,Tampa Bay Buccaneers / 2nd / 50th pick / 2017
39.0,DaMarcus Fields,24.0,DB,2,0.0,200.0,6-0,Texas Tech,3/11/1998,Rook,0.0,
4.0,Blake Gillikin,24.0,P,17,0.0,196.0,6-2,Penn St.,1/21/1998,1,3.0,
96.0,Carl Granderson,26.0,DE,16,4.0,261.0,6-5,Wyoming,12/18/1996,3,4.0,
48.0,J.T. Gray,26.0,DB,14,0.0,202.0,6-0,Mississippi St.,1/18/1996,4,1.0,
40.0,Chase Hansen,29.0,LB,11,1.0,222.0,6-3,Utah,5/20/1993,2,1.0,
19.0,Chris Harris Jr.,33.0,DB,10,4.0,199.0,5-10,Kansas,6/18/1989,11,2.0,
11.0,Deonte Harty,25.0,WR,4,0.0,170.0,5-6,Assumption,12/4/1997,3,0.0,
7.0,Taysom Hill,32.0,TE/QB,16,8.0,221.0,6-2,BYU,8/23/1990,5,4.0,
88.0,J.P. Holtz,29.0,TE,6,2.0,246.0,6-3,Pittsburgh,8/28/1993,3,0.0,
28.0,Jordan Howard,28.0,RB,2,0.0,224.0,6-0,Indiana,11/2/1994,6,0.0,Chicago Bears / 5th / 150th pick / 2016
74.0,James Hurst,31.0,LT,16,16.0,310.0,6-5,North Carolina,12/17/1991,8,6.0,
22.0,Mark Ingram,33.0,RB,10,3.0,215.0,5-9,Alabama,12/21/1989,11,2.0,New Orleans Saints / 1st / 28th pick / 2011
28.0,David Johnson,31.0,RB,5,0.0,224.0,6-1,Northern Iowa,12/16/1991,7,0.0,Arizona Cardinals / 3rd / 86th pick / 2015
83.0,Juwan Johnson,26.0,TE,16,12.0,231.0,6-4,"Oregon,Penn St.",9/13/1996,2,4.0,
