No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
77.0,Jack Anderson,24.0,G,12,2.0,314.0,6-4,Texas Tech,10/12/1998,1,1.0,Buffalo Bills / 7th / 236th pick / 2021
90.0,Ryder Anderson,24.0,DT,7,2.0,280.0,6-6,"Mississippi,Indiana",10/15/1998,Rook,1.0,
26.0,Saquon Barkley,25.0,RB,16,16.0,233.0,6-0,Penn St.,2/9/1997,4,11.0,New York Giants / 1st / 2nd pick / 2018
45.0,Daniel Bellinger,22.0,TE,12,11.0,255.0,6-6,San Diego St.,9/22/2000,Rook,3.0,New York Giants / 4th / 112th pick / 2022
24.0,Dane Belton,22.0,S,15,5.0,190.0,6-1,Iowa,12/7/2000,Rook,3.0,New York Giants / 4th / 114th pick / 2022
68.0,Ben Bredeson,24.0,LG,11,8.0,315.0,6-5,Michigan,2/20/1998,2,3.0,Baltimore Ravens / 4th / 143rd pick / 2020
31.0,Matt Breida,27.0,RB,17,1.0,195.0,5-10,Georgia Southern,2/28/1995,5,3.0,
23.0,Gary Brightwell,23.0,RB,17,0.0,218.0,6-1,Arizona,2/28/1999,1,1.0,New York Giants / 6th / 196th pick / 2021
47.0,Cam Brown,24.0,LB,17,0.0,230.0,6-5,Penn St.,4/1/1998,2,1.0,New York Giants / 6th / 183rd pick / 2020
34.0,Terrell Burgess,24.0,S,1,0.0,202.0,5-11,Utah,11/12/1998,2,0.0,Los Angeles Rams / 3rd / 104th pick / 2020
91.0,Vernon Butler,28.0,DT,1,0.0,330.0,6-4,Louisiana Tech,6/14/1994,6,0.0,Carolina Panthers / 1st / 30th pick / 2016
83.0,Lawrence Cager,25.0,WR,6,3.0,220.0,6-5,Georgia,8/20/1997,2,1.0,
59.0,Austin Calitro,28.0,LB,5,2.0,240.0,6-0,Villanova,1/10/1994,4,1.0,
21.0,Landon Collins,28.0,S,6,1.0,218.0,6-0,Alabama,1/10/1994,7,1.0,New York Giants / 2nd / 33rd pick / 2015
52.0,Carter Coughlin,25.0,LB,17,0.0,240.0,6-3,Minnesota,7/20/1997,2,1.0,New York Giants / 7th / 218th pick / 2020
48.0,Tae Crowder,25.0,RILB,13,8.0,235.0,6-3,Georgia,3/12/1997,2,4.0,New York Giants / 7th / 255th pick / 2020
70.0,Korey Cunningham,27.0,T,1,0.0,305.0,6-6,Cincinnati,5/17/1995,4,0.0,Arizona Cardinals / 7th / 254th pick / 2018
98.0,D.J. Davidson,23.0,DT,5,0.0,320.0,6-5,Arizona St.,12/16/1999,Rook,0.0,New York Giants / 5th / 147th pick / 2022
57.0,Jarrad Davis,28.0,LB,1,1.0,238.0,6-1,Florida,11/16/1994,5,0.0,Detroit Lions / 1st / 21st pick / 2017
67.0,Wyatt Davis,23.0,G,1,0.0,315.0,6-4,Ohio St.,2/17/1999,1,0.0,Minnesota Vikings / 3rd / 86th pick / 2021
71.0,Justin Ellis,32.0,DT,17,4.0,350.0,6-2,Louisiana Tech,12/27/1990,8,3.0,Oakland Raiders / 4th / 107th pick / 2014
75.0,Joshua Ezeudu,23.0,G,10,2.0,310.0,6-4,North Carolina,9/19/1999,Rook,1.0,New York Giants / 3rd / 67th pick / 2022
76.0,Jon Feliciano,30.0,C,15,15.0,325.0,6-4,Miami (FL),2/10/1992,7,6.0,Oakland Raiders / 4th / 128th pick / 2015
28.0,Cordale Flott,21.0,CB,11,6.0,175.0,6-2,LSU,8/24/2001,Rook,2.0,New York Giants / 3rd / 81st pick / 2022
49.0,Tomon Fox,24.0,LB,16,1.0,245.0,6-2,North Carolina,3/16/1998,Rook,2.0,
9.0,Graham Gano,35.0,K,17,0.0,202.0,6-2,Florida St.,4/9/1987,13,5.0,
65.0,Nick Gates,27.0,LG,10,8.0,312.0,6-5,Nebraska,11/27/1995,3,3.0,
38.0,Zyon Gilbert,23.0,CB,3,1.0,193.0,6-0,Florida Atlantic,2/4/1999,Rook,0.0,
17.0,Jamie Gillan,25.0,P,17,0.0,207.0,6-1,Ark-Pine Bluff,7/4/1997,3,2.0,
64.0,Mark Glowinski,30.0,RG,16,16.0,310.0,6-4,"Lackawanna,West Virginia",5/3/1992,7,6.0,Seattle Seahawks / 4th / 134th pick / 2015
19.0,Kenny Golladay,29.0,WR,12,4.0,213.0,6-4,Northern Illinois,11/3/1993,5,1.0,Detroit Lions / 3rd / 96th pick / 2017
62.0,Devery Hamilton,24.0,T,9,0.0,310.0,6-6,"Stanford,Duke",4/19/1998,1,1.0,
96.0,Jack Heflin,24.0,DT,1,0.0,304.0,6-3,"Northern Illinois,Iowa",3/8/1998,1,0.0,
18.0,Isaiah Hodgins,24.0,WR,8,5.0,200.0,6-3,Oregon St.,10/21/1998,1,3.0,Buffalo Bills / 6th / 207th pick / 2020
30.0,Darnay Holmes,24.0,CB,15,2.0,198.0,5-10,UCLA,6/23/1998,2,1.0,New York Giants / 4th / 110th pick / 2020
88.0,Tanner Hudson,28.0,TE,11,0.0,241.0,6-5,Southern Arkansas,11/12/1994,3,1.0,
22.0,Adoree' Jackson,27.0,LCB,10,10.0,185.0,5-11,USC,9/18/1995,5,4.0,Tennessee Titans / 1st / 18th pick / 2017
80.0,Richie James,27.0,WR,17,4.0,185.0,5-9,Middle Tenn. St.,9/5/1995,4,6.0,San Francisco 49ers / 7th / 240th pick / 2018
36.0,Tony Jefferson,30.0,DB,9,1.0,212.0,5-11,Oklahoma,1/27/1992,9,1.0,
84.0,Marcus Johnson,28.0,WR,14,7.0,207.0,6-1,Texas,8/5/1994,5,1.0,
8.0,Daniel Jones,25.0,QB,16,16.0,230.0,6-5,Duke,5/27/1997,3,15.0,New York Giants / 1st / 6th pick / 2019
58.0,Casey Kreiter,32.0,LS,17,0.0,250.0,6-1,Iowa,8/13/1990,6,1.0,
97.0,Dexter Lawrence,25.0,NT,16,16.0,340.0,6-4,Clemson,11/12/1997,3,13.0,New York Giants / 1st / 17th pick / 2019
35.0,Justin Layne,24.0,CB,7,0.0,192.0,6-2,Michigan St.,1/12/1998,3,0.0,Pittsburgh Steelers / 3rd / 83rd pick / 2019
66.0,Shane Lemieux,25.0,G,1,1.0,310.0,6-4,Oregon,5/12/1997,2,0.0,New York Giants / 5th / 150th pick / 2020
20.0,Julian Love,24.0,SS,16,16.0,195.0,5-11,Notre Dame,3/19/1998,3,6.0,New York Giants / 4th / 108th pick / 2019
36.0,Nick McCloud,24.0,LCB,14,8.0,191.0,6-1,"North Carolina St.,Notre Dame",7/9/1998,1,3.0,
41.0,Micah McFadden,22.0,RILB,17,7.0,232.0,6-2,Indiana,1/3/2000,Rook,4.0,New York Giants / 5th / 146th pick / 2022
29.0,Xavier McKinney,24.0,FS,9,9.0,201.0,6-0,Alabama,8/8/1998,2,3.0,New York Giants / 2nd / 36th pick / 2020
96.0,Henry Mondeaux,27.0,DT,11,4.0,280.0,6-4,Oregon,9/19/1995,2,2.0,
