Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
C.J. Stroud,HOU,0,0,18.0,2023,258
Devin Singletary,HOU,0,0,18.0,2023,258
Nico Collins,HOU,0,0,18.0,2023,258
Dalton Schultz,HOU,0,0,18.0,2023,258
Andrew Beck,HOU,0,0,18.0,2023,258
Xavier Hutchinson,HOU,0,0,18.0,2023,258
John Metchie,HOU,0,0,18.0,2023,258
Eric Saubert,HOU,0,0,18.0,2023,258
Cameron Johnston,HOU,0,0,18.0,2023,258
Gardner Minshew II,IND,0,0,18.0,2023,258
Jonathan Taylor,IND,0,0,18.0,2023,258
Zack Moss,IND,0,0,18.0,2023,258
Josh Downs,IND,0,0,18.0,2023,258
Michael Pittman Jr.,IND,1,1,18.0,2023,258
Kylen Granson,IND,0,0,18.0,2023,258
Mo Alie-Cox,IND,0,0,18.0,2023,258
Will Mallory,IND,0,0,18.0,2023,258
Alec Pierce,IND,0,0,18.0,2023,258
Tyler Goodson,IND,0,0,18.0,2023,258
