Unnamed: 0,CLE,CIN,week,year,game_id
First Downs,18,21,16.0,2024,231
Rush-Yds-TDs,24-148-1,22-116-0,16.0,2024,231
Cmp-Att-Yd-TD-INT,20-34-157-0-2,23-30-252-3-0,16.0,2024,231
Sacked-Yards,5-32,4-42,16.0,2024,231
Net Pass Yards,125,210,16.0,2024,231
Total Yards,273,326,16.0,2024,231
Fumbles-Lost,2-1,1-1,16.0,2024,231
Turnovers,3,1,16.0,2024,231
Penalties-Yards,5-41,5-35,16.0,2024,231
Third Down Conv.,3-12,4-11,16.0,2024,231
Fourth Down Conv.,1-3,0-0,16.0,2024,231
Time of Possession,29:12,30:48,16.0,2024,231
