Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Matthew Stafford,LAR,14,19,110,7,36.8,69,3.6,26,1.9,1.4,84,6.0,1,5.3%,2,10.5%,0,5,0,1,1,5.3%,0,,16.0,2024,233
Aaron Rodgers,NYJ,28,42,256,14,32.6,221,5.3,97,3.5,2.3,159,5.7,4,9.5%,6,14.3%,1,1,0,0,1,2.3%,1,6.0,16.0,2024,233
