Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Texans to receive the opening kickoff.",,,16.0,2024,226
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,226
1.0,15:00,1.0,10.0,HOU 30,0.0,0.0,Joe Mixon right end for 2 yards (tackle by Drue Tranquill),0.94,0.66,16.0,2024,226
1.0,14:28,2.0,8.0,HOU 32,0.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 13 yards,0.66,1.93,16.0,2024,226
1.0,13:48,1.0,10.0,HOU 45,0.0,0.0,C.J. Stroud pass complete short right to Nico Collins for -2 yards (tackle by Trent McDuffie),1.93,1.11,16.0,2024,226
1.0,13:06,2.0,12.0,HOU 43,0.0,0.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz (defended by Justin Reid),1.11,0.43,16.0,2024,226
1.0,13:04,3.0,12.0,HOU 43,0.0,0.0,C.J. Stroud pass deep left intended for Nico Collins is intercepted by Jaden Hicks at KC-31 and returned for 3 yards (tackle by Tank Dell),0.43,-1.2,16.0,2024,226
1.0,12:57,1.0,10.0,KAN 34,0.0,0.0,Patrick Mahomes pass complete short left to Xavier Worthy for 7 yards (tackle by Calen Bullock and Henry To'oTo'o),1.2,1.6,16.0,2024,226
1.0,12:26,2.0,3.0,KAN 41,0.0,0.0,Isiah Pacheco right tackle for 7 yards (tackle by Mario Edwards and Calen Bullock),1.6,2.13,16.0,2024,226
1.0,11:51,1.0,10.0,KAN 48,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,2.13,1.58,16.0,2024,226
1.0,11:45,2.0,10.0,KAN 48,0.0,0.0,Patrick Mahomes pass complete short middle to DeAndre Hopkins for 7 yards (tackle by Christian Harris),1.58,1.82,16.0,2024,226
1.0,11:09,3.0,3.0,HOU 45,0.0,0.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 7 yards (tackle by Eric Murray),1.82,3.05,16.0,2024,226
