Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Rams to receive the opening kickoff.",,,16.0,2024,233
1.0,15:00,,,NYJ 35,0.0,0.0,"Anders Carlson kicks off 63 yards, returned by Jordan Whittington for 19 yards (tackle by Marcelino McCrary-Ball)",0.0,0.34,16.0,2024,233
1.0,14:55,1.0,10.0,LAR 21,0.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 9 yards (tackle by Jamien Sherwood),0.34,1.02,16.0,2024,233
1.0,14:26,2.0,1.0,LAR 30,0.0,0.0,Kyren Williams up the middle for 3 yards (tackle by Javon Kinlaw),1.02,1.14,16.0,2024,233
1.0,13:48,1.0,10.0,LAR 33,0.0,0.0,Matthew Stafford pass incomplete short right intended for Colby Parkinson (defended by Will McDonald),1.14,0.59,16.0,2024,233
1.0,13:39,2.0,10.0,LAR 33,0.0,0.0,Kyren Williams right guard for 7 yards (tackle by Will McDonald and Chuck Clark),0.59,0.83,16.0,2024,233
1.0,13:01,3.0,3.0,LAR 40,0.0,0.0,Kyren Williams right guard for 9 yards (tackle by Tony Adams and Isaiah Oliver),0.83,2.19,16.0,2024,233
1.0,12:26,1.0,10.0,LAR 49,0.0,0.0,Kyren Williams up the middle for 8 yards (tackle by Tony Adams and Chuck Clark),2.19,2.73,16.0,2024,233
1.0,11:47,2.0,2.0,NYJ 43,0.0,0.0,Kyren Williams left guard for no gain (tackle by Quincy Williams and Leonard Taylor),2.73,2.01,16.0,2024,233
1.0,11:03,3.0,2.0,NYJ 43,0.0,0.0,Kyren Williams left tackle for 3 yards (tackle by Sauce Gardner and Jamien Sherwood),2.01,2.92,16.0,2024,233
1.0,10:27,1.0,10.0,NYJ 40,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for no gain (tackle by Chuck Clark),2.92,2.37,16.0,2024,233
1.0,9:47,2.0,10.0,NYJ 40,0.0,0.0,Blake Corum up the middle for 3 yards (tackle by Isaiah Oliver and Will McDonald),2.37,2.08,16.0,2024,233
1.0,9:01,3.0,7.0,NYJ 37,0.0,0.0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Haason Reddick),2.08,0.79,16.0,2024,233
