Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Browns to receive the opening kickoff.",,,16.0,2024,231
1.0,15:00,,,CIN 35,0.0,0.0,"Cade York kicks off 64 yards, returned by Jerome Ford for 22 yards (tackle by Daijahn Anthony)",0.0,0.48,16.0,2024,231
1.0,14:54,1.0,10.0,CLE 23,0.0,0.0,Jerome Ford right tackle for 66 yards (tackle by Cam Taylor-Britt),0.48,4.84,16.0,2024,231
1.0,14:12,1.0,10.0,CIN 11,0.0,0.0,Jerome Ford right tackle for 1 yard (tackle by Josh Newton),4.84,4.32,16.0,2024,231
1.0,13:39,2.0,9.0,CIN 10,0.0,0.0,Dorian Thompson-Robinson right end for 8 yards (tackle by Jordan Battle),4.32,5.12,16.0,2024,231
1.0,13:00,,,,,,Timeout #1 by Cincinnati Bengals,,,16.0,2024,231
1.0,13:00,3.0,1.0,CIN 2,0.0,0.0,D'Onta Foreman up the middle for 1 yard (tackle by Joseph Ossai),5.12,6.97,16.0,2024,231
1.0,12:16,1.0,1.0,CIN 1,0.0,0.0,"D'Onta Foreman right guard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. D'Onta Foreman right guard for no gain. D'Onta Foreman fumbles (tackle by Shaka Heyward), recovered by Vonn Bell at CIN-1",6.97,0.38,16.0,2024,231
1.0,12:12,1.0,10.0,CIN 1,0.0,0.0,"Penalty on Mohamoud Diabate: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.38,-0.19,16.0,2024,231
1.0,12:12,1.0,5.0,CIN 6,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 4 yards (tackle by Martin Emerson),-0.19,-0.12,16.0,2024,231
1.0,11:30,2.0,1.0,CIN 10,0.0,0.0,Chase Brown left guard for 3 yards (tackle by Michael Hall),-0.12,-0.32,16.0,2024,231
1.0,10:49,1.0,10.0,CIN 13,0.0,0.0,Ja'Marr Chase right end for 7 yards (tackle by Mohamoud Diabate),-0.32,0.22,16.0,2024,231
1.0,10:08,2.0,3.0,CIN 20,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 14 yards (tackle by Jordan Hicks),0.22,1.2,16.0,2024,231
1.0,9:26,1.0,10.0,CIN 34,0.0,0.0,Chase Brown right tackle for 21 yards (tackle by Juan Thornhill),1.2,2.59,16.0,2024,231
1.0,8:45,1.0,10.0,CLE 45,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Denzel Ward),2.59,3.97,16.0,2024,231
