Unnamed: 0,JAX,LVR,week,year,game_id
First Downs,15,21,16.0,2024,237
Rush-Yds-TDs,21-72-1,27-69-2,16.0,2024,237
Cmp-Att-Yd-TD-INT,25-39-247-1-0,24-38-257-0-0,16.0,2024,237
Sacked-Yards,1-11,2-12,16.0,2024,237
Net Pass Yards,236,245,16.0,2024,237
Total Yards,308,314,16.0,2024,237
Fumbles-Lost,3-2,0-0,16.0,2024,237
Turnovers,2,0,16.0,2024,237
Penalties-Yards,8-60,7-62,16.0,2024,237
Third Down Conv.,6-15,4-14,16.0,2024,237
Fourth Down Conv.,1-2,0-0,16.0,2024,237
Time of Possession,25:42,34:18,16.0,2024,237
