Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Vikings to receive the opening kickoff.",,,16.0,2024,235
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
1.0,15:00,1.0,10.0,MIN 30,0.0,0.0,Sam Darnold pass complete short right to Jordan Addison for 9 yards (tackle by Josh Jobe),0.94,1.61,16.0,2024,235
1.0,14:19,2.0,1.0,MIN 39,0.0,0.0,Aaron Jones left end for 14 yards (tackle by Coby Bryant),1.61,2.46,16.0,2024,235
1.0,13:35,1.0,10.0,SEA 47,0.0,0.0,Sam Darnold pass complete short right to Aaron Jones for 4 yards (tackle by Coby Bryant),2.46,2.45,16.0,2024,235
1.0,12:57,2.0,6.0,SEA 43,0.0,0.0,Aaron Jones left end for 3 yards (tackle by Ernest Jones and Devon Witherspoon),2.45,2.15,16.0,2024,235
1.0,12:22,3.0,3.0,SEA 40,0.0,0.0,Sam Darnold pass incomplete short middle intended for Aaron Jones,2.15,0.59,16.0,2024,235
1.0,12:16,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2024,235
1.0,12:16,4.0,3.0,SEA 40,0.0,0.0,Sam Darnold pass complete short left to T.J. Hockenson for 8 yards,0.59,3.45,16.0,2024,235
1.0,11:41,1.0,10.0,SEA 32,0.0,0.0,Aaron Jones left end for 3 yards (tackle by Uchenna Nwosu and Tre Brown),3.45,3.31,16.0,2024,235
1.0,11:01,2.0,7.0,SEA 29,0.0,0.0,Sam Darnold pass complete short right to Jordan Addison for 12 yards (tackle by Devon Witherspoon),3.31,4.44,16.0,2024,235
1.0,10:20,1.0,10.0,SEA 17,0.0,0.0,Sam Darnold pass complete short left to Aaron Jones for 7 yards (tackle by Devon Witherspoon and Tyrice Knight),4.44,5.1,16.0,2024,235
1.0,9:38,2.0,3.0,SEA 10,0.0,0.0,Aaron Jones left tackle for no gain (tackle by Leonard Williams),5.1,4.34,16.0,2024,235
1.0,8:58,3.0,3.0,SEA 10,0.0,0.0,Sam Darnold pass complete short middle to Justin Jefferson for 5 yards (tackle by Devon Witherspoon),4.34,6.06,16.0,2024,235
1.0,8:09,1.0,5.0,SEA 5,6.0,0.0,"Sam Darnold pass complete short middle to Jordan Addison for 5 yards, touchdown",6.06,7.0,16.0,2024,235
1.0,8:06,,,SEA 15,7.0,0.0,Will Reichard kicks extra point good,0.0,0.0,16.0,2024,235
