Unnamed: 0,LAR,NYJ,week,year,game_id
First Downs,17,17,16.0,2024,233
Rush-Yds-TDs,31-132-1,20-75-0,16.0,2024,233
Cmp-Att-Yd-TD-INT,14-19-110-1-1,28-42-256-1-0,16.0,2024,233
Sacked-Yards,0-0,1-10,16.0,2024,233
Net Pass Yards,110,246,16.0,2024,233
Total Yards,242,321,16.0,2024,233
Fumbles-Lost,0-0,2-2,16.0,2024,233
Turnovers,1,2,16.0,2024,233
Penalties-Yards,5-45,8-62,16.0,2024,233
Third Down Conv.,5-10,5-13,16.0,2024,233
Fourth Down Conv.,0-0,2-5,16.0,2024,233
Time of Possession,27:55,32:05,16.0,2024,233
