#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,MIN 30,12,6:54,70,Touchdown,0,Vikings,16.0,2024,235
2,1,6:09,MIN 9,7,3:31,31,Punt,0,Vikings,16.0,2024,235
3,2,13:35,MIN 30,3,1:34,-6,Punt,0,Vikings,16.0,2024,235
4,2,10:29,MIN 33,8,4:39,67,Touchdown,0,Vikings,16.0,2024,235
5,2,5:42,SEA 31,4,2:09,-3,Field Goal,0,Vikings,16.0,2024,235
6,2,1:57,MIN 29,3,0:32,7,Punt,0,Vikings,16.0,2024,235
7,2,0:20,MIN 21,1,0:20,-1,End of Half,0,Vikings,16.0,2024,235
8,3,10:37,MIN 30,8,4:12,40,Field Goal,0,Vikings,16.0,2024,235
9,3,4:45,MIN 16,6,2:47,38,Punt,0,Vikings,16.0,2024,235
10,4,12:21,MIN 20,3,1:44,7,Punt,0,Vikings,16.0,2024,235
11,4,4:21,MIN 30,4,0:30,70,Touchdown,0,Vikings,16.0,2024,235
12,4,1:55,,3,1:00,-5,Punt,0,Vikings,16.0,2024,235
13,4,0:49,SEA 44,2,0:49,-2,End of Game,0,Vikings,16.0,2024,235
