Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Russell Wilson,PIT,0,0,0,0,0,16.0,2024,227
Jaylen Warren,PIT,5,5,44,0,13,16.0,2024,227
Najee Harris,PIT,1,0,0,0,0,16.0,2024,227
Calvin Austin III,PIT,5,4,65,0,44,16.0,2024,227
Van Jefferson,PIT,3,2,27,0,21,16.0,2024,227
Ben Skowronek,PIT,2,2,25,0,17,16.0,2024,227
Mike Williams,PIT,3,3,24,0,13,16.0,2024,227
Pat Freiermuth,PIT,3,3,16,0,7,16.0,2024,227
Cordarrelle Patterson,PIT,1,1,12,1,12,16.0,2024,227
Connor Heyward,PIT,1,1,3,0,3,16.0,2024,227
MyCole Pruitt,PIT,2,1,1,1,1,16.0,2024,227
Lamar Jackson,BAL,0,0,0,0,0,16.0,2024,227
Derrick Henry,BAL,2,2,27,0,16,16.0,2024,227
Justice Hill,BAL,1,0,0,0,0,16.0,2024,227
Zay Flowers,BAL,8,5,100,0,49,16.0,2024,227
Rasheen Ali,BAL,0,0,0,0,0,16.0,2024,227
Mark Andrews,BAL,6,4,37,1,16,16.0,2024,227
Isaiah Likely,BAL,3,3,29,1,19,16.0,2024,227
Rashod Bateman,BAL,3,1,14,1,14,16.0,2024,227
