Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Falcons to receive the opening kickoff.",,,16.0,2024,228
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
1.0,15:00,1.0,10.0,ATL 30,0.0,0.0,Michael Penix pass incomplete short left intended for Ray-Ray McCloud (defended by Deonte Banks),0.94,0.39,16.0,2024,228
1.0,14:52,2.0,10.0,ATL 30,0.0,0.0,Bijan Robinson right tackle for 3 yards (tackle by Micah McFadden),0.39,0.1,16.0,2024,228
1.0,14:14,3.0,7.0,ATL 33,0.0,0.0,Michael Penix pass complete short middle to Drake London for 19 yards (tackle by Adoree' Jackson and Jason Pinnock),0.1,2.39,16.0,2024,228
1.0,13:33,1.0,10.0,NYG 48,0.0,0.0,"Penalty on Brian Burns: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.39,3.12,16.0,2024,228
1.0,13:18,1.0,5.0,NYG 43,0.0,0.0,Bijan Robinson left tackle for 10 yards (tackle by Darius Muasau),3.12,3.38,16.0,2024,228
1.0,12:38,1.0,10.0,NYG 33,0.0,0.0,Michael Penix pass incomplete short left intended for Drake London,3.38,2.84,16.0,2024,228
1.0,12:34,2.0,10.0,NYG 33,0.0,0.0,Ray-Ray McCloud right end for 8 yards (tackle by Darius Muasau and Jason Pinnock),2.84,3.2,16.0,2024,228
1.0,11:52,3.0,2.0,NYG 25,0.0,0.0,Michael Penix pass incomplete deep right intended for Drake London,3.2,1.93,16.0,2024,228
1.0,11:48,4.0,2.0,NYG 25,0.0,0.0,Riley Patterson 43 yard field goal no good,1.93,-1.14,16.0,2024,228
1.0,11:44,1.0,10.0,NYG 33,0.0,0.0,Drew Lock pass complete short right to Malik Nabers for 6 yards (tackle by Mike Hughes and Kaden Elliss),1.14,1.4,16.0,2024,228
1.0,11:05,2.0,4.0,NYG 39,0.0,0.0,Drew Lock pass incomplete short right,1.4,0.7,16.0,2024,228
1.0,10:57,3.0,4.0,NYG 39,0.0,0.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,0.7,-0.78,16.0,2024,228
1.0,10:52,4.0,4.0,NYG 39,0.0,0.0,"Jamie Gillan punts 51 yards, fair catch by Avery Williams at ATL-10",-0.78,0.38,16.0,2024,228
1.0,10:45,1.0,10.0,ATL 10,0.0,0.0,Bijan Robinson right tackle for 7 yards (tackle by Elijah Chatman),-0.38,-0.09,16.0,2024,228
1.0,10:08,2.0,3.0,ATL 17,0.0,0.0,Bijan Robinson left end for 7 yards (tackle by Andru Phillips),-0.09,0.54,16.0,2024,228
1.0,9:41,1.0,10.0,ATL 24,0.0,0.0,Michael Penix pass incomplete short right intended for Charlie Woerner,0.54,0.0,16.0,2024,228
1.0,9:38,2.0,10.0,ATL 24,0.0,0.0,Michael Penix pass complete short left to Drake London for 5 yards (tackle by Dane Belton and Darius Muasau),0.0,-0.03,16.0,2024,228
1.0,8:56,3.0,5.0,ATL 29,0.0,0.0,Michael Penix scrambles right guard for 1 yard (tackle by Kayvon Thibodeaux),-0.03,-1.37,16.0,2024,228
1.0,8:15,4.0,4.0,ATL 30,0.0,0.0,"Bradley Pinion punts 46 yards, returned by Ihmir Smith-Marsette for 6 yards (tackle by Natrone Brooks)",-1.37,-0.94,16.0,2024,228
1.0,8:05,1.0,10.0,NYG 30,0.0,0.0,Tyrone Tracy right tackle for 4 yards (tackle by David Onyemata),0.94,0.93,16.0,2024,228
