Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, 49ers to receive the opening kickoff.",,,16.0,2024,238
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,0.94,0.39,16.0,2024,238
1.0,14:56,2.0,10.0,SFO 30,0.0,0.0,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Jordan Poyer and Jordyn Brooks),0.39,0.89,16.0,2024,238
1.0,14:22,3.0,1.0,SFO 39,0.0,0.0,Patrick Taylor right tackle for no gain (tackle by Calais Campbell and Emmanuel Ogbah),0.89,-0.78,16.0,2024,238
1.0,13:37,4.0,1.0,SFO 39,0.0,0.0,"Pat O'Donnell punts 51 yards, fair catch by Malik Washington at MIA-10",-0.78,0.38,16.0,2024,238
1.0,13:30,1.0,10.0,MIA 10,0.0,0.0,De'Von Achane left end for -1 yards (tackle by Nick Bosa),-0.38,-0.85,16.0,2024,238
1.0,12:51,2.0,11.0,MIA 9,0.0,0.0,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by Talanoa Hufanga and Fred Warner),-0.85,0.34,16.0,2024,238
1.0,12:08,1.0,10.0,MIA 21,0.0,0.0,Raheem Mostert up the middle for 3 yards (tackle by Talanoa Hufanga and Dre Greenlaw),0.34,0.21,16.0,2024,238
1.0,11:30,2.0,7.0,MIA 24,0.0,0.0,Raheem Mostert up the middle for -2 yards (tackle by Jordan Elliott),0.21,-0.76,16.0,2024,238
1.0,10:51,3.0,9.0,MIA 22,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,-0.76,-1.9,16.0,2024,238
1.0,10:47,4.0,9.0,MIA 22,0.0,0.0,"Jake Bailey punts 58 yards, returned by Jacob Cowing for 8 yards (tackle by Julian Hill)",-1.9,-0.81,16.0,2024,238
1.0,10:34,1.0,10.0,SFO 28,0.0,0.0,Brock Purdy pass complete short left to Jauan Jennings for 11 yards (tackle by Kendall Fuller),0.81,1.53,16.0,2024,238
1.0,9:59,1.0,10.0,SFO 39,0.0,0.0,Patrick Taylor right tackle for 5 yards (tackle by Zach Sieler),1.53,1.66,16.0,2024,238
1.0,9:28,2.0,5.0,SFO 44,0.0,0.0,"Deebo Samuel up the middle for 3 yards (tackle by Jevon Holland). Penalty on Aaron Banks: Offensive Holding, 10 yards (accepted)",1.66,0.72,16.0,2024,238
1.0,9:06,2.0,12.0,SFO 37,0.0,0.0,"Penalty on George Kittle: False Start, 5 yards (accepted) (no play)",0.72,0.04,16.0,2024,238
1.0,8:48,2.0,17.0,SFO 32,0.0,0.0,Brock Purdy sacked by Jordyn Brooks for -6 yards,0.04,-1.42,16.0,2024,238
1.0,8:11,3.0,23.0,SFO 26,0.0,0.0,Kyle Juszczyk up the middle for 6 yards (tackle by Jordyn Brooks),-1.42,-1.24,16.0,2024,238
1.0,7:40,4.0,17.0,SFO 32,0.0,0.0,"Pat O'Donnell punts 45 yards, returned by Malik Washington for 7 yards (tackle by Dee Winters)",-1.24,-0.94,16.0,2024,238
1.0,7:30,1.0,10.0,MIA 30,0.0,0.0,Tua Tagovailoa pass complete short left to Durham Smythe for 5 yards (tackle by Dee Winters),0.94,1.07,16.0,2024,238
1.0,6:57,2.0,5.0,MIA 35,0.0,0.0,De'Von Achane left end for 7 yards (tackle by Dee Winters),1.07,1.73,16.0,2024,238
1.0,6:29,1.0,10.0,MIA 42,0.0,0.0,Tua Tagovailoa pass complete short left to De'Von Achane for 11 yards (tackle by Renardo Green),1.73,2.46,16.0,2024,238
1.0,5:53,1.0,10.0,SFO 47,0.0,0.0,Tua Tagovailoa pass complete deep middle to De'Von Achane for 20 yards (tackle by Renardo Green),2.46,3.78,16.0,2024,238
1.0,5:09,1.0,10.0,SFO 27,0.0,0.0,De'Von Achane right end for no gain (tackle by Fred Warner),3.78,3.23,16.0,2024,238
1.0,4:23,2.0,10.0,SFO 27,0.0,0.0,Raheem Mostert left end for 1 yard (tackle by Renardo Green and Fred Warner),3.23,2.68,16.0,2024,238
1.0,3:40,3.0,9.0,SFO 26,0.0,0.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by Deommodore Lenoir),2.68,1.74,16.0,2024,238
1.0,3:34,4.0,9.0,SFO 26,0.0,3.0,Jason Sanders 44 yard field goal good,1.74,3.0,16.0,2024,238
1.0,3:30,,,MIA 35,0.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
1.0,3:30,1.0,10.0,SFO 30,0.0,3.0,Brock Purdy pass complete deep left to Ricky Pearsall for 21 yards (tackle by Kendall Fuller),0.94,2.32,16.0,2024,238
1.0,2:51,1.0,10.0,MIA 49,0.0,3.0,Deebo Samuel right guard for 4 yards (tackle by Quinton Bell),2.32,2.32,16.0,2024,238
1.0,2:13,2.0,6.0,MIA 45,0.0,3.0,Brock Purdy pass incomplete deep left intended for Jauan Jennings,2.32,1.62,16.0,2024,238
1.0,2:09,3.0,6.0,MIA 45,0.0,3.0,Brock Purdy pass complete short middle to Ricky Pearsall for 5 yards (tackle by Jordan Poyer and Zach Sieler),1.62,0.59,16.0,2024,238
1.0,1:38,4.0,1.0,MIA 40,0.0,3.0,Patrick Taylor right end for 4 yards (tackle by Jordan Poyer and Emmanuel Ogbah) (no play),0.59,3.25,16.0,2024,238
1.0,1:06,1.0,10.0,MIA 35,0.0,3.0,"Brock Purdy pass incomplete short right intended for Patrick Taylor MIA challenged the tipped pass ruling, and the play was upheld.",3.25,2.7,16.0,2024,238
1.0,1:02,2.0,10.0,MIA 35,0.0,3.0,Brock Purdy pass incomplete short middle intended for Patrick Taylor,2.7,2.01,16.0,2024,238
1.0,0:58,,,,,,Timeout #1 by San Francisco 49ers,,,16.0,2024,238
1.0,0:58,3.0,10.0,MIA 35,0.0,3.0,Brock Purdy pass complete short left to Deebo Samuel for 17 yards (tackle by Kendall Fuller),2.01,4.37,16.0,2024,238
1.0,0:16,1.0,10.0,MIA 18,0.0,3.0,Patrick Taylor left end for 9 yards (tackle by Jordan Poyer and Jalen Ramsey),4.37,5.42,16.0,2024,238
2.0,15:00,2.0,1.0,MIA 9,0.0,3.0,Brock Purdy sacked by Zach Sieler for -7 yards,5.42,3.3,16.0,2024,238
2.0,14:22,3.0,8.0,MIA 16,6.0,3.0,"Brock Purdy pass complete short middle to Deebo Samuel for 16 yards, touchdown",3.3,7.0,16.0,2024,238
2.0,14:14,,,MIA 15,7.0,3.0,Jake Moody kicks extra point good,0.0,0.0,16.0,2024,238
2.0,14:14,,,SFO 35,7.0,3.0,"Jake Moody kicks off 66 yards, returned by Malik Washington for 32 yards (tackle by Alex Barrett)",0.0,1.0,16.0,2024,238
2.0,14:07,1.0,10.0,MIA 31,7.0,3.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 24 yards (tackle by Talanoa Hufanga),1.0,2.59,16.0,2024,238
2.0,13:28,1.0,10.0,SFO 45,7.0,3.0,De'Von Achane left end for 8 yards (tackle by Malik Mustapha),2.59,3.12,16.0,2024,238
2.0,12:46,2.0,2.0,SFO 37,7.0,3.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 8 yards (tackle by Fred Warner and Malik Mustapha),3.12,3.64,16.0,2024,238
2.0,12:18,1.0,10.0,SFO 29,7.0,3.0,De'Von Achane left tackle for 7 yards (tackle by Malik Mustapha),3.64,4.05,16.0,2024,238
2.0,11:38,2.0,3.0,SFO 22,7.0,3.0,Tua Tagovailoa pass incomplete short left,4.05,3.34,16.0,2024,238
2.0,11:35,3.0,3.0,SFO 22,7.0,3.0,Tua Tagovailoa pass complete short left to Malik Washington for 5 yards (tackle by Deommodore Lenoir),3.34,4.44,16.0,2024,238
2.0,11:01,1.0,10.0,SFO 17,7.0,3.0,"Raheem Mostert left tackle for 3 yards (tackle by Yetur Gross-Matos). Penalty on Robert Jones: Offensive Holding, 10 yards (accepted)",4.44,3.97,16.0,2024,238
2.0,10:37,1.0,17.0,SFO 24,7.0,3.0,Tua Tagovailoa pass incomplete deep left intended for Malik Washington,3.97,2.95,16.0,2024,238
2.0,10:32,2.0,17.0,SFO 24,7.0,3.0,Tua Tagovailoa pass complete short left to Malik Washington for 4 yards (tackle by Fred Warner),2.95,2.81,16.0,2024,238
2.0,9:48,3.0,13.0,SFO 20,7.0,3.0,Tua Tagovailoa pass incomplete short middle,2.81,2.12,16.0,2024,238
2.0,9:44,4.0,13.0,SFO 20,7.0,6.0,Jason Sanders 38 yard field goal good,2.12,3.0,16.0,2024,238
2.0,9:40,,,MIA 35,7.0,6.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
2.0,9:40,1.0,10.0,SFO 30,7.0,6.0,Patrick Taylor left guard for no gain (tackle by Jordyn Brooks),0.94,0.39,16.0,2024,238
2.0,9:00,2.0,10.0,SFO 30,7.0,6.0,Brock Purdy pass incomplete deep middle intended for Deebo Samuel,0.39,-0.3,16.0,2024,238
2.0,8:49,3.0,10.0,SFO 30,7.0,6.0,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",-0.3,-0.96,16.0,2024,238
2.0,8:49,3.0,15.0,SFO 25,7.0,6.0,Brock Purdy scrambles left end for 1 yard (tackle by Emmanuel Ogbah),-0.96,-1.63,16.0,2024,238
2.0,8:11,4.0,14.0,SFO 26,7.0,6.0,"Penalty on Brayden Willis: False Start, 5 yards (accepted) (no play)",-1.63,-1.96,16.0,2024,238
2.0,8:03,4.0,19.0,SFO 21,7.0,6.0,"Pat O'Donnell punts 45 yards, returned by Malik Washington for 8 yards (tackle by Eric Saubert). Penalty on Patrick McMorris: Offensive Holding, 10 yards (accepted)",-1.96,-1.07,16.0,2024,238
2.0,7:53,1.0,10.0,MIA 32,7.0,6.0,De'Von Achane right guard for 7 yards (tackle by Malik Mustapha),1.07,1.47,16.0,2024,238
2.0,7:15,2.0,3.0,MIA 39,7.0,6.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 13 yards (tackle by Fred Warner),1.47,2.39,16.0,2024,238
2.0,6:34,1.0,10.0,SFO 48,7.0,6.0,Raheem Mostert right end for 21 yards (tackle by Malik Mustapha and Talanoa Hufanga),2.39,3.78,16.0,2024,238
2.0,5:50,1.0,10.0,SFO 27,7.0,6.0,De'Von Achane left end for 1 yard (tackle by Fred Warner),3.78,3.37,16.0,2024,238
2.0,5:28,2.0,9.0,SFO 26,7.0,6.0,Tua Tagovailoa pass complete deep left to Malik Washington for 19 yards (tackle by Renardo Green),3.37,5.6,16.0,2024,238
2.0,4:49,1.0,7.0,SFO 7,7.0,6.0,De'Von Achane up the middle for 2 yards (tackle by Nick Bosa),5.6,5.15,16.0,2024,238
