Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,,16.0,2024,225
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
1.0,15:00,1.0,10.0,LAC 30,0.0,0.0,Gus Edwards up the middle for 4 yards (tackle by Brandon Jones and D.J. Jones),0.94,0.93,16.0,2024,225
1.0,14:26,2.0,6.0,LAC 34,0.0,0.0,Justin Herbert pass complete short right to Gus Edwards for 3 yards (tackle by Brandon Jones),0.93,0.63,16.0,2024,225
1.0,13:56,3.0,3.0,LAC 37,0.0,0.0,"Derius Davis left end for -3 yards (tackle by Cody Barton). Penalty on Rashawn Slater: Offensive Holding, 10 yards (declined)",0.63,-1.11,16.0,2024,225
1.0,13:36,4.0,6.0,LAC 34,0.0,0.0,"JK Scott punts 38 yards, fair catch by Marvin Mims at DEN-28",-1.11,-0.81,16.0,2024,225
1.0,13:30,1.0,10.0,DEN 28,0.0,0.0,Audric Estime right tackle for 6 yards (tackle by Daiyan Henley),0.81,1.07,16.0,2024,225
1.0,12:55,2.0,4.0,DEN 34,0.0,0.0,Javonte Williams left guard for 6 yards (tackle by Marcus Maye and Derwin James),1.07,1.6,16.0,2024,225
1.0,12:16,1.0,10.0,DEN 40,0.0,0.0,Marvin Mims right end for 3 yards (tackle by Kristian Fulton),1.6,1.46,16.0,2024,225
1.0,11:42,2.0,7.0,DEN 43,0.0,0.0,Bo Nix pass complete short middle to Michael Burton for 5 yards (tackle by Daiyan Henley),1.46,1.42,16.0,2024,225
1.0,10:59,3.0,2.0,DEN 48,0.0,0.0,Javonte Williams right guard for 15 yards (tackle by Tony Jefferson and Daiyan Henley),1.42,3.12,16.0,2024,225
1.0,10:18,1.0,10.0,LAC 37,0.0,0.0,Bo Nix pass complete short right to Nate Adkins for 13 yards (tackle by Denzel Perryman),3.12,3.97,16.0,2024,225
1.0,9:44,1.0,10.0,LAC 24,0.0,0.0,Audric Estime right guard for 3 yards (tackle by Bud Dupree and Daiyan Henley),3.97,3.84,16.0,2024,225
1.0,9:05,2.0,7.0,LAC 21,0.0,0.0,Blake Watson right guard for 7 yards (tackle by Marcus Maye),3.84,4.65,16.0,2024,225
1.0,8:19,1.0,10.0,LAC 14,0.0,0.0,"Penalty on Ben Powers: False Start, 5 yards (accepted) (no play)",4.65,4.26,16.0,2024,225
1.0,7:58,1.0,15.0,LAC 19,0.0,0.0,"Bo Nix pass complete short right to Blake Watson for 13 yards (tackle by Tony Jefferson). Penalty on Tony Jefferson: Unnecessary Roughness / Defense, 3 yards (accepted)",4.26,6.51,16.0,2024,225
1.0,7:37,1.0,3.0,LAC 3,6.0,0.0,"Audric Estime right guard for 3 yards, touchdown",6.51,7.0,16.0,2024,225
1.0,7:34,,,LAC 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2024,225
1.0,7:34,,,DEN 35,7.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
1.0,7:34,1.0,10.0,LAC 30,7.0,0.0,Justin Herbert pass complete short right to Scott Matlock for 10 yards (tackle by Zach Allen),0.94,1.6,16.0,2024,225
1.0,6:51,1.0,10.0,LAC 40,7.0,0.0,Gus Edwards right tackle for 6 yards (tackle by Brandon Jones),1.6,1.86,16.0,2024,225
1.0,6:17,2.0,4.0,LAC 46,7.0,0.0,Kimani Vidal left tackle for 19 yards (tackle by Brandon Jones),1.86,3.25,16.0,2024,225
1.0,5:33,1.0,10.0,DEN 35,7.0,0.0,Gus Edwards up the middle for 2 yards (tackle by Cody Barton),3.25,2.97,16.0,2024,225
1.0,4:48,2.0,8.0,DEN 33,7.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 6 yards (tackle by Kris Abrams-Draine and Ja'Quan McMillian),2.97,3.07,16.0,2024,225
1.0,4:13,3.0,2.0,DEN 27,7.0,0.0,"Justin Herbert pass complete deep left to Josh Palmer for 24 yards (tackle by Brandon Jones and P.J. Locke). Penalty on Nik Bonitto: Defensive Offside, 5 yards (declined)",3.07,6.51,16.0,2024,225
1.0,3:51,1.0,3.0,DEN 3,7.0,0.0,Gus Edwards up the middle for 2 yards (tackle by Eyioma Uwazurike),6.51,5.91,16.0,2024,225
1.0,3:15,2.0,1.0,DEN 1,7.0,6.0,"Gus Edwards right guard for 1 yard, touchdown",5.91,7.0,16.0,2024,225
1.0,3:09,,,DEN 15,7.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,16.0,2024,225
1.0,3:09,,,LAC 35,7.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
1.0,3:09,1.0,10.0,DEN 30,7.0,7.0,Bo Nix pass complete short left to Javonte Williams for 1 yard (tackle by Kristian Fulton),0.94,0.53,16.0,2024,225
1.0,2:24,2.0,9.0,DEN 31,7.0,7.0,Bo Nix pass incomplete short left intended for Troy Franklin,0.53,-0.16,16.0,2024,225
1.0,2:19,3.0,9.0,DEN 31,7.0,7.0,Bo Nix scrambles up the middle for 10 yards (tackle by Daiyan Henley),-0.16,1.66,16.0,2024,225
1.0,1:40,1.0,10.0,DEN 41,7.0,7.0,Audric Estime right guard for 9 yards (tackle by Justin Eboigbe),1.66,2.34,16.0,2024,225
1.0,0:54,2.0,1.0,DEN 50,7.0,7.0,Blake Watson right guard for 2 yards (tackle by Teair Tart),2.34,2.39,16.0,2024,225
1.0,0:15,1.0,10.0,LAC 48,7.0,7.0,Bo Nix pass incomplete short right intended for Javonte Williams (defended by Khalil Mack),2.39,1.85,16.0,2024,225
1.0,0:12,2.0,10.0,LAC 48,7.0,7.0,Bo Nix pass complete short left to Devaughn Vele for 15 yards (tackle by Ja'Sir Taylor),1.85,3.38,16.0,2024,225
2.0,15:00,1.0,10.0,LAC 33,7.0,7.0,Bo Nix pass complete short left to Courtland Sutton for 4 yards (tackle by Kristian Fulton),3.38,3.38,16.0,2024,225
2.0,14:20,2.0,6.0,LAC 29,7.0,7.0,Bo Nix pass complete deep right to Courtland Sutton for 18 yards (tackle by Tony Jefferson),3.38,4.84,16.0,2024,225
2.0,13:41,1.0,10.0,LAC 11,7.0,7.0,Audric Estime right tackle for 9 yards (tackle by Derwin James),4.84,5.85,16.0,2024,225
2.0,12:55,2.0,1.0,LAC 2,7.0,7.0,Bo Nix pass complete short left to Marvin Mims for 1 yard (tackle by Kristian Fulton),5.85,6.97,16.0,2024,225
2.0,12:22,1.0,1.0,LAC 1,13.0,7.0,"Bo Nix pass complete short right to Michael Burton for 1 yard, touchdown",6.97,7.0,16.0,2024,225
2.0,12:17,,,LAC 15,14.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2024,225
2.0,12:17,,,DEN 35,14.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
2.0,12:17,1.0,10.0,LAC 30,14.0,7.0,Justin Herbert pass complete short left to Ladd McConkey for 27 yards (tackle by P.J. Locke),0.94,2.72,16.0,2024,225
2.0,11:41,1.0,10.0,DEN 43,14.0,7.0,Kimani Vidal left tackle for 3 yards (tackle by Eyioma Uwazurike),2.72,2.58,16.0,2024,225
2.0,11:07,2.0,7.0,DEN 40,14.0,7.0,Justin Herbert scrambles up the middle for 2 yards (tackle by Nik Bonitto),2.58,2.15,16.0,2024,225
2.0,10:44,3.0,5.0,DEN 38,14.0,7.0,Justin Herbert pass complete short left to Stone Smartt for 12 yards (tackle by P.J. Locke),2.15,3.84,16.0,2024,225
2.0,10:12,1.0,10.0,DEN 26,14.0,7.0,Gus Edwards left end for 3 yards (tackle by Jonah Elliss),3.84,3.7,16.0,2024,225
2.0,9:37,2.0,7.0,DEN 23,14.0,7.0,Justin Herbert pass complete short left to Stone Smartt for 6 yards (tackle by Cody Barton),3.7,3.95,16.0,2024,225
2.0,9:30,3.0,1.0,DEN 17,14.0,7.0,Gus Edwards left tackle for -2 yards (tackle by Zach Allen),3.95,2.28,16.0,2024,225
2.0,8:53,4.0,3.0,DEN 19,14.0,10.0,Cameron Dicker 37 yard field goal good,2.28,3.0,16.0,2024,225
2.0,8:50,,,LAC 35,14.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
2.0,8:50,1.0,10.0,DEN 30,14.0,10.0,Bo Nix pass complete short right to Javonte Williams for 4 yards (tackle by Teair Tart),0.94,0.93,16.0,2024,225
2.0,8:14,2.0,6.0,DEN 34,14.0,10.0,"Penalty on Ben Powers: False Start, 5 yards (accepted) (no play)",0.93,0.26,16.0,2024,225
2.0,7:58,2.0,11.0,DEN 29,14.0,10.0,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Poona Ford),0.26,-0.43,16.0,2024,225
2.0,7:55,3.0,11.0,DEN 29,14.0,10.0,Bo Nix pass complete short right to Javonte Williams for 12 yards (tackle by Tarheeb Still),-0.43,1.66,16.0,2024,225
2.0,7:12,1.0,10.0,DEN 41,14.0,10.0,Bo Nix pass complete short left to Marvin Mims for 53 yards (tackle by Derwin James),1.66,5.83,16.0,2024,225
2.0,6:30,1.0,6.0,LAC 6,14.0,10.0,Bo Nix pass incomplete short right intended for Javonte Williams,5.83,4.95,16.0,2024,225
2.0,6:26,2.0,6.0,LAC 6,20.0,10.0,"Bo Nix pass complete short left to Devaughn Vele for 6 yards, touchdown",4.95,7.0,16.0,2024,225
2.0,6:22,,,LAC 15,21.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2024,225
2.0,6:22,,,DEN 35,21.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
2.0,6:22,1.0,10.0,LAC 30,21.0,10.0,Gus Edwards right guard for 2 yards (tackle by D.J. Jones),0.94,0.66,16.0,2024,225
2.0,5:41,2.0,8.0,LAC 32,21.0,10.0,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Patrick Surtain),0.66,0.63,16.0,2024,225
2.0,5:12,3.0,3.0,LAC 37,21.0,10.0,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Brandon Jones),0.63,-0.91,16.0,2024,225
2.0,5:07,4.0,3.0,LAC 37,21.0,10.0,"JK Scott punts 41 yards, fair catch by Marvin Mims at DEN-22",-0.91,-0.41,16.0,2024,225
2.0,5:00,1.0,10.0,DEN 22,21.0,10.0,Bo Nix scrambles right end for 15 yards (tackle by Junior Colson),0.41,1.4,16.0,2024,225
2.0,4:22,1.0,10.0,DEN 37,21.0,10.0,Bo Nix sacked by Joey Bosa for -8 yards,1.4,-0.22,16.0,2024,225
2.0,3:36,,,,,,Timeout #1 by Denver Broncos,,,16.0,2024,225
2.0,3:36,2.0,18.0,DEN 29,21.0,10.0,Bo Nix pass complete short middle to Courtland Sutton for 12 yards (tackle by Tarheeb Still),-0.22,0.7,16.0,2024,225
2.0,2:48,3.0,6.0,DEN 41,21.0,10.0,Bo Nix pass incomplete short left intended for Devaughn Vele (defended by Deane Leonard),0.7,-0.65,16.0,2024,225
2.0,2:45,4.0,6.0,DEN 41,21.0,10.0,"Riley Dixon punts 51 yards, returned by Derius Davis for 17 yards (tackle by Drew Sanders and JL Skinner)",-0.65,-0.61,16.0,2024,225
2.0,2:34,1.0,10.0,LAC 25,21.0,10.0,Justin Herbert pass complete short right to Derius Davis for 12 yards (tackle by Brandon Jones),0.61,1.4,16.0,2024,225
2.0,2:09,1.0,10.0,LAC 37,21.0,10.0,Justin Herbert pass complete short middle to Hassan Haskins for 5 yards (tackle by Cody Barton),1.4,1.53,16.0,2024,225
2.0,2:00,2.0,5.0,LAC 42,21.0,10.0,Justin Herbert pass complete deep left to Ladd McConkey for 21 yards (tackle by Brandon Jones),1.53,3.12,16.0,2024,225
2.0,1:35,1.0,10.0,DEN 37,21.0,10.0,Justin Herbert pass incomplete deep right intended for Josh Palmer,3.12,2.57,16.0,2024,225
2.0,1:30,2.0,10.0,DEN 37,21.0,10.0,"Justin Herbert pass complete short left to Ladd McConkey for 10 yards (tackle by P.J. Locke and Brandon Jones) Replay Assistant challenged the first down ruling, and the original play was overturned. Justin Herbert pass complete short left to Ladd McConkey for 9 yards and Brandon Jones and P.J. Locke)",2.57,3.07,16.0,2024,225
2.0,1:11,3.0,1.0,DEN 28,21.0,10.0,Justin Herbert up the middle for 2 yards (tackle by Zach Allen),3.07,3.84,16.0,2024,225
2.0,0:50,1.0,10.0,DEN 26,21.0,10.0,Justin Herbert pass deep middle intended for Josh Palmer is intercepted by Kris Abrams-Draine at DEN-1 and returned for 17 yards (tackle by Ladd McConkey),3.84,-0.04,16.0,2024,225
2.0,0:41,1.0,10.0,DEN 18,21.0,10.0,Bo Nix pass complete short right to Javonte Williams for -3 yards (tackle by Poona Ford),0.04,-0.93,16.0,2024,225
2.0,0:17,2.0,13.0,DEN 15,21.0,10.0,Bo Nix pass incomplete short middle intended for Javonte Williams,-0.93,-1.66,16.0,2024,225
