Unnamed: 0,HOU,KAN,week,year,game_id
First Downs,20,25,16.0,2024,226
Rush-Yds-TDs,17-84-0,28-124-2,16.0,2024,226
Cmp-Att-Yd-TD-INT,23-39-244-2-2,28-41-260-1-0,16.0,2024,226
Sacked-Yards,2-17,1-9,16.0,2024,226
Net Pass Yards,227,251,16.0,2024,226
Total Yards,311,375,16.0,2024,226
Fumbles-Lost,1-0,0-0,16.0,2024,226
Turnovers,2,0,16.0,2024,226
Penalties-Yards,6-45,2-20,16.0,2024,226
Third Down Conv.,7-13,7-13,16.0,2024,226
Fourth Down Conv.,0-0,1-2,16.0,2024,226
Time of Possession,26:08,33:52,16.0,2024,226
