Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Baker Mayfield,TAM,3,42,0,18,16.0,2024,239
Bucky Irving,TAM,16,68,1,15,16.0,2024,239
Sterling Shepard,TAM,1,14,0,14,16.0,2024,239
Rachaad White,TAM,3,10,0,4,16.0,2024,239
Mike Evans,TAM,0,0,0,0,16.0,2024,239
Jalen McMillan,TAM,0,0,0,0,16.0,2024,239
Trey Palmer,TAM,0,0,0,0,16.0,2024,239
Payne Durham,TAM,0,0,0,0,16.0,2024,239
Ryan Miller,TAM,0,0,0,0,16.0,2024,239
Rakim Jarrett,TAM,0,0,0,0,16.0,2024,239
Cooper Rush,DAL,3,-4,0,-1,16.0,2024,239
Rico Dowdle,DAL,13,23,0,6,16.0,2024,239
KaVontae Turpin,DAL,3,11,0,12,16.0,2024,239
Ezekiel Elliott,DAL,1,1,1,1,16.0,2024,239
CeeDee Lamb,DAL,0,0,0,0,16.0,2024,239
Brandin Cooks,DAL,0,0,0,0,16.0,2024,239
Ryan Flournoy,DAL,0,0,0,0,16.0,2024,239
Jake Ferguson,DAL,0,0,0,0,16.0,2024,239
Jalen Tolbert,DAL,0,0,0,0,16.0,2024,239
Luke Schoonmaker,DAL,0,0,0,0,16.0,2024,239
Hunter Luepke,DAL,0,0,0,0,16.0,2024,239
