Unnamed: 0,SFO,MIA,week,year,game_id
First Downs,20,21,16.0,2024,238
Rush-Yds-TDs,18-81-0,30-166-1,16.0,2024,238
Cmp-Att-Yd-TD-INT,26-40-313-2-1,22-34-215-1-0,16.0,2024,238
Sacked-Yards,3-20,0-0,16.0,2024,238
Net Pass Yards,293,215,16.0,2024,238
Total Yards,374,381,16.0,2024,238
Fumbles-Lost,0-0,1-0,16.0,2024,238
Turnovers,1,0,16.0,2024,238
Penalties-Yards,11-90,6-45,16.0,2024,238
Third Down Conv.,5-13,4-12,16.0,2024,238
Fourth Down Conv.,0-1,0-0,16.0,2024,238
Time of Possession,26:54,33:06,16.0,2024,238
