Quarter,Time,Tm,Detail,JAX,LVR,week,year,game_id
1.0,1:32,Jaguars,Tank Bigsby 1 yard rush (Cam Little kick),7,0,16.0,2024,237
2.0,14:05,Raiders,Alexander Mattison 1 yard rush (Daniel Carlson kick),7,7,16.0,2024,237
,10:28,Raiders,Daniel Carlson 49 yard field goal,7,10,16.0,2024,237
,3:56,Raiders,Daniel Carlson 37 yard field goal,7,13,16.0,2024,237
3.0,0:54,Jaguars,Brian Thomas 62 yard pass from Mac Jones (Cam Little kick),14,13,16.0,2024,237
4.0,11:26,Raiders,Ameer Abdullah 7 yard rush (pass failed),14,19,16.0,2024,237
