Unnamed: 0,TAM,DAL,week,year,game_id
First Downs,25,15,16.0,2024,239
Rush-Yds-TDs,23-134-1,20-31-1,16.0,2024,239
Cmp-Att-Yd-TD-INT,31-43-303-2-1,26-35-292-1-0,16.0,2024,239
Sacked-Yards,4-27,1-6,16.0,2024,239
Net Pass Yards,276,286,16.0,2024,239
Total Yards,410,317,16.0,2024,239
Fumbles-Lost,3-1,0-0,16.0,2024,239
Turnovers,2,0,16.0,2024,239
Penalties-Yards,6-47,5-30,16.0,2024,239
Third Down Conv.,6-12,5-15,16.0,2024,239
Fourth Down Conv.,0-1,0-0,16.0,2024,239
Time of Possession,32:48,27:12,16.0,2024,239
