Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
C.J. Stroud,HOU,23,39,244,2,2,2,17,30,73.0,16.0,2024,226
Joe Mixon,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Tank Dell,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Nico Collins,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Robert Woods,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Xavier Hutchinson,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Andrew Beck,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,16.0,2024,226
Patrick Mahomes,KAN,28,41,260,1,0,1,9,36,93.5,16.0,2024,226
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Xavier Worthy,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Samaje Perine,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Marquise Brown,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
DeAndre Hopkins,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Noah Gray,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
Justin Watson,KAN,0,0,0,0,0,0,0,0,,16.0,2024,226
