Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Patriots to receive the opening kickoff.",,,16.0,2024,236
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, returned by Antonio Gibson for 42 yards (tackle by Kareem Jackson)",0.0,1.73,16.0,2024,236
1.0,14:52,1.0,10.0,NWE 42,0.0,0.0,Drake Maye pass incomplete short left,1.73,1.19,16.0,2024,236
1.0,14:48,2.0,10.0,NWE 42,0.0,0.0,Rhamondre Stevenson up the middle for 2 yards (tackle by Terrel Bernard),1.19,0.76,16.0,2024,236
1.0,14:09,3.0,8.0,NWE 44,0.0,0.0,Drake Maye pass complete short right to Hunter Henry for 8 yards (tackle by Cole Bishop),0.76,2.39,16.0,2024,236
1.0,13:32,1.0,10.0,BUF 48,0.0,0.0,"Drake Maye pass incomplete short right intended for Rhamondre Stevenson. Penalty on Baylon Spector: Defensive Pass Interference, 14 yards (accepted) (no play)",2.39,3.31,16.0,2024,236
1.0,13:24,1.0,10.0,BUF 34,0.0,0.0,Antonio Gibson right end for 6 yards (tackle by Cole Bishop),3.31,3.58,16.0,2024,236
1.0,12:47,2.0,4.0,BUF 28,0.0,0.0,Drake Maye sacked by and Austin Johnson for no gain and Baylon Spector for no gain,3.58,2.87,16.0,2024,236
1.0,12:06,3.0,4.0,BUF 28,6.0,0.0,"Drake Maye pass complete deep right to Kayshon Boutte for 28 yards, touchdown",2.87,7.0,16.0,2024,236
1.0,12:01,,,BUF 15,7.0,0.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2024,236
1.0,12:01,,,NWE 35,7.0,0.0,"Joey Slye kicks off 55 yards, returned by Brandon Codrington for 22 yards (tackle by Marte Mapu and Marcellas Dial)",0.0,1.07,16.0,2024,236
1.0,11:54,1.0,10.0,BUF 32,7.0,0.0,James Cook right guard for 4 yards (tackle by Jeremiah Pharms),1.07,1.07,16.0,2024,236
1.0,11:15,2.0,6.0,BUF 36,7.0,0.0,Josh Allen pass complete short right to Dalton Kincaid for 5 yards (tackle by Kyle Dugger),1.07,1.03,16.0,2024,236
1.0,10:53,3.0,1.0,BUF 41,7.0,0.0,Josh Allen left guard for 2 yards (tackle by Anfernee Jennings and Christian Elliss),1.03,1.8,16.0,2024,236
1.0,10:14,1.0,10.0,BUF 43,7.0,0.0,Ray Davis left guard for no gain (tackle by Daniel Ekuale),1.8,1.25,16.0,2024,236
1.0,9:35,2.0,10.0,BUF 43,7.0,0.0,Josh Allen pass incomplete deep left intended for Khalil Shakir,1.25,0.56,16.0,2024,236
1.0,9:29,3.0,10.0,BUF 43,7.0,0.0,Josh Allen pass incomplete short right intended for Mack Hollins (defended by Alex Austin),0.56,-0.52,16.0,2024,236
1.0,9:23,4.0,10.0,BUF 43,7.0,0.0,"Sam Martin punts 48 yards, returned by Alex Erickson for no gain (tackle by Jalen Virgil)",-0.52,0.38,16.0,2024,236
1.0,9:13,1.0,10.0,NWE 9,7.0,0.0,Rhamondre Stevenson right end for 14 yards (tackle by Cameron Lewis),-0.38,0.48,16.0,2024,236
1.0,8:35,1.0,10.0,NWE 23,7.0,0.0,Rhamondre Stevenson left guard for 5 yards (tackle by Jordan Phillips),0.48,0.61,16.0,2024,236
1.0,7:53,2.0,5.0,NWE 28,7.0,0.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Terrel Bernard),0.61,1.14,16.0,2024,236
1.0,7:17,1.0,10.0,NWE 33,7.0,0.0,Drake Maye pass complete short left to Austin Hooper for 11 yards (tackle by Terrel Bernard and Gregory Rousseau),1.14,1.86,16.0,2024,236
1.0,6:33,1.0,10.0,NWE 44,7.0,0.0,Antonio Gibson up the middle for no gain (tackle by Christian Benford and Von Miller),1.86,1.32,16.0,2024,236
1.0,5:49,2.0,10.0,NWE 44,7.0,0.0,Drake Maye pass complete short right to Hunter Henry for 10 yards (tackle by Baylon Spector and Christian Benford),1.32,2.52,16.0,2024,236
1.0,5:09,1.0,10.0,BUF 46,7.0,0.0,"Penalty on Demontrey Jacobs: False Start, 5 yards (accepted) (no play)",2.52,2.19,16.0,2024,236
1.0,4:52,1.0,15.0,NWE 49,7.0,0.0,Drake Maye pass complete short left to Demario Douglas for 6 yards (tackle by Christian Benford),2.19,2.11,16.0,2024,236
1.0,4:08,2.0,9.0,BUF 45,7.0,0.0,Drake Maye pass incomplete deep left intended for Kayshon Boutte,2.11,1.42,16.0,2024,236
1.0,4:02,3.0,9.0,BUF 45,7.0,0.0,Drake Maye scrambles left tackle for 10 yards (tackle by Terrel Bernard and Taron Johnson),1.42,3.25,16.0,2024,236
1.0,3:22,1.0,10.0,BUF 35,7.0,0.0,Drake Maye pass complete short left to Antonio Gibson for 4 yards (tackle by Dawuane Smoot),3.25,3.24,16.0,2024,236
1.0,2:47,2.0,6.0,BUF 31,7.0,0.0,Rhamondre Stevenson right guard for -2 yards (tackle by A.J. Epenesa and Cameron Lewis),3.24,2.28,16.0,2024,236
1.0,2:03,3.0,8.0,BUF 33,7.0,0.0,Drake Maye pass complete short right to Hunter Henry for 12 yards (tackle by Cole Bishop),2.28,4.17,16.0,2024,236
1.0,1:22,1.0,10.0,BUF 21,7.0,0.0,Rhamondre Stevenson right tackle for 2 yards (tackle by Gregory Rousseau),4.17,3.9,16.0,2024,236
1.0,0:41,2.0,8.0,BUF 19,7.0,0.0,Rhamondre Stevenson right end for 6 yards (tackle by Baylon Spector and Kaiir Elam),3.9,4.24,16.0,2024,236
1.0,0:02,3.0,2.0,BUF 13,7.0,0.0,"Penalty on A.J. Epenesa: Encroachment, 5 yards (accepted) (no play)",4.24,5.37,16.0,2024,236
2.0,15:00,1.0,8.0,BUF 8,7.0,0.0,Drake Maye pass incomplete short left,5.37,4.57,16.0,2024,236
2.0,14:55,,,,,,Timeout #1 by New England Patriots,,,16.0,2024,236
2.0,14:55,2.0,8.0,BUF 8,7.0,0.0,"Drake Maye pass incomplete short left intended for Demario Douglas. Penalty on Cameron Lewis: Defensive Pass Interference, 4 yards (accepted) (no play)",4.57,6.28,16.0,2024,236
2.0,14:50,1.0,4.0,BUF 4,7.0,0.0,"Drake Maye left end for no gain (tackle by Cameron Lewis). Penalty on Hunter Henry: Offensive Holding, 10 yards (accepted) (no play)",6.28,4.44,16.0,2024,236
2.0,14:21,1.0,14.0,BUF 14,13.0,0.0,"Rhamondre Stevenson right guard for 14 yards, touchdown",4.44,7.0,16.0,2024,236
2.0,14:16,,,BUF 15,14.0,0.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2024,236
2.0,14:16,,,NWE 35,14.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,236
2.0,14:16,1.0,10.0,BUF 30,14.0,0.0,Josh Allen pass complete short right to Dawson Knox for 13 yards (tackle by Jonathan Jones),0.94,1.8,16.0,2024,236
2.0,13:31,1.0,10.0,BUF 43,14.0,0.0,Ty Johnson right end for 5 yards (tackle by Kyle Dugger),1.8,1.93,16.0,2024,236
2.0,12:49,2.0,5.0,BUF 48,14.0,0.0,Josh Allen pass complete short right to James Cook for 6 yards (tackle by Christian Gonzalez),1.93,2.52,16.0,2024,236
2.0,12:05,1.0,10.0,NWE 46,14.0,6.0,"James Cook left tackle for 46 yards, touchdown",2.52,7.0,16.0,2024,236
2.0,11:56,,,NWE 15,14.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2024,236
2.0,11:56,,,BUF 35,14.0,7.0,"Tyler Bass kicks off 62 yards, returned by Antonio Gibson for 19 yards (tackle by Ja'Marcus Ingram). Penalty on Quintin Morris: Illegal Formation, 5 yards (accepted)",0.0,0.74,16.0,2024,236
2.0,11:52,1.0,10.0,NWE 27,14.0,7.0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,0.74,0.2,16.0,2024,236
2.0,11:47,2.0,10.0,NWE 27,14.0,7.0,Drake Maye pass incomplete short right,0.2,-0.49,16.0,2024,236
2.0,11:43,3.0,10.0,NWE 27,14.0,7.0,Drake Maye pass complete short right to Kendrick Bourne for 9 yards (tackle by Cameron Lewis),-0.49,-0.98,16.0,2024,236
2.0,10:58,4.0,1.0,NWE 36,14.0,7.0,"Bryce Baringer punts 42 yards. Penalty on Marcellas Dial: Offensive Low Block, 10 yards (accepted)",-0.98,-1.07,16.0,2024,236
2.0,10:58,1.0,10.0,BUF 32,14.0,7.0,Josh Allen pass complete short right to James Cook for 16 yards (tackle by Jaylinn Hawkins),1.07,2.13,16.0,2024,236
2.0,10:16,1.0,10.0,BUF 48,14.0,7.0,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Isaiah Bolden and Deatrich Wise),2.13,2.12,16.0,2024,236
2.0,9:39,2.0,6.0,NWE 48,14.0,7.0,Josh Allen pass complete short right to Amari Cooper for 10 yards (tackle by Christian Elliss),2.12,3.05,16.0,2024,236
2.0,9:01,1.0,10.0,NWE 38,14.0,7.0,Josh Allen pass incomplete short left intended for Khalil Shakir,3.05,2.51,16.0,2024,236
2.0,8:59,2.0,10.0,NWE 38,14.0,7.0,"Josh Allen pass complete short left to Dalton Kincaid for -1 yards (tackle by Kyle Dugger). Penalty on Khalil Shakir: Offensive Pass Interference, 10 yards (declined)",2.51,1.68,16.0,2024,236
2.0,8:37,3.0,11.0,NWE 39,14.0,7.0,"Penalty on Amari Cooper: False Start, 5 yards (accepted) (no play)",1.68,1.03,16.0,2024,236
2.0,8:19,3.0,16.0,NWE 44,14.0,7.0,Josh Allen pass deep middle intended for Keon Coleman is intercepted by Marte Mapu in end zone and returned for 6 yards (tackle by Ty Johnson),1.03,0.38,16.0,2024,236
2.0,8:01,1.0,10.0,NWE 1,14.0,7.0,Drake Maye up the middle for 1 yard (tackle by Terrel Bernard),-0.38,-0.71,16.0,2024,236
2.0,7:26,2.0,9.0,NWE 2,14.0,7.0,Drake Maye pass complete short left to Kayshon Boutte for 5 yards (tackle by Kaiir Elam),-0.71,-0.72,16.0,2024,236
2.0,6:51,3.0,4.0,NWE 7,14.0,7.0,Drake Maye pass complete short left to Austin Hooper for 7 yards (tackle by Dorian Williams),-0.72,-0.28,16.0,2024,236
2.0,6:11,1.0,10.0,NWE 14,14.0,7.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Austin Johnson and Dorian Williams),-0.28,-0.37,16.0,2024,236
2.0,5:34,2.0,7.0,NWE 17,14.0,7.0,Demario Douglas left end for 6 yards (tackle by Cole Bishop),-0.37,-0.32,16.0,2024,236
2.0,4:58,3.0,1.0,NWE 23,14.0,7.0,"Antonio Gibson up the middle for no gain. Antonio Gibson fumbles (forced by Dawuane Smoot), recovered by Antonio Gibson at NE-23 (tackle by Dawuane Smoot)",-0.32,-1.83,16.0,2024,236
2.0,3:59,4.0,1.0,NWE 23,14.0,7.0,Dell Pettus up the middle for 2 yards (tackle by Dorian Williams and Reggie Gilliam),-1.83,0.61,16.0,2024,236
2.0,3:14,,,,,,Timeout #2 by New England Patriots,,,16.0,2024,236
2.0,3:14,1.0,10.0,NWE 25,14.0,7.0,Antonio Gibson left end for 6 yards (tackle by Christian Benford),0.61,0.87,16.0,2024,236
2.0,2:35,2.0,4.0,NWE 31,14.0,7.0,Drake Maye pass incomplete deep left intended for Javon Baker,0.87,0.17,16.0,2024,236
2.0,2:29,3.0,4.0,NWE 31,14.0,7.0,Drake Maye pass complete short left to Antonio Gibson for 3 yards (tackle by Kaiir Elam and Cole Bishop),0.17,-1.11,16.0,2024,236
2.0,2:00,4.0,1.0,NWE 34,14.0,7.0,Bryce Baringer punts 46 yards downed by Titus Leo,-1.11,-0.28,16.0,2024,236
2.0,1:48,1.0,10.0,BUF 20,14.0,7.0,Josh Allen pass incomplete deep right intended for Dalton Kincaid (defended by Marte Mapu),0.28,-0.27,16.0,2024,236
2.0,1:43,2.0,10.0,BUF 20,14.0,7.0,Josh Allen pass complete short left to Mack Hollins for 12 yards (tackle by Marte Mapu),-0.27,1.07,16.0,2024,236
2.0,1:22,1.0,10.0,BUF 32,14.0,7.0,"Josh Allen pass complete short left to Keon Coleman for no gain (tackle by Alex Austin). Penalty on Spencer Brown: Illegal Formation, 5 yards (accepted) (no play)",1.07,0.74,16.0,2024,236
2.0,1:16,1.0,15.0,BUF 27,14.0,7.0,Josh Allen scrambles up the middle for 4 yards (tackle by Jonathan Jones and Jaylinn Hawkins),0.74,0.39,16.0,2024,236
2.0,0:55,2.0,11.0,BUF 31,14.0,7.0,Josh Allen pass complete short right to Mack Hollins for 13 yards (tackle by Alex Austin),0.39,1.86,16.0,2024,236
2.0,0:47,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2024,236
2.0,0:47,1.0,10.0,BUF 44,14.0,7.0,Josh Allen pass incomplete short right intended for Dalton Kincaid,1.86,1.32,16.0,2024,236
2.0,0:39,2.0,10.0,BUF 44,14.0,7.0,Josh Allen pass incomplete deep right intended for Ty Johnson (defended by Christian Elliss),1.32,0.63,16.0,2024,236
2.0,0:30,3.0,10.0,BUF 44,14.0,7.0,Josh Allen pass incomplete deep right intended for Khalil Shakir,0.63,-0.46,16.0,2024,236
2.0,0:22,4.0,10.0,BUF 44,14.0,7.0,"Sam Martin punts 56 yards, touchback.",-0.46,-0.28,16.0,2024,236
2.0,0:13,1.0,10.0,NWE 20,14.0,7.0,Drake Maye pass complete short right to Demario Douglas for 13 yards (tackle by Terrel Bernard),0.28,1.14,16.0,2024,236
2.0,0:07,1.0,10.0,NWE 33,14.0,7.0,Drake Maye pass complete short middle to Austin Hooper for 11 yards (tackle by Terrel Bernard),1.14,1.86,16.0,2024,236
2.0,0:02,,,,,,Timeout #3 by New England Patriots,,,16.0,2024,236
2.0,0:02,,,,,,Timeout #2 by Buffalo Bills,,,16.0,2024,236
2.0,0:02,1.0,10.0,NWE 44,14.0,7.0,"Drake Maye pass complete short left to Kayshon Boutte for 31 yards, lateral to Antonio Gibson for 1 yard (tackle by Gregory Rousseau)",1.86,3.97,16.0,2024,236
3.0,15:00,,,NWE 35,14.0,7.0,"Joey Slye kicks off 57 yards, returned by Ray Davis for 24 yards (tackle by Marte Mapu and Jaylinn Hawkins)",0.0,1.07,16.0,2024,236
3.0,14:53,1.0,10.0,BUF 32,14.0,7.0,James Cook right end for 25 yards (tackle by Kyle Dugger),1.07,2.72,16.0,2024,236
3.0,14:15,1.0,10.0,NWE 43,14.0,7.0,James Cook right guard for 5 yards (tackle by Davon Godchaux and Christian Elliss),2.72,2.85,16.0,2024,236
3.0,13:34,2.0,5.0,NWE 38,14.0,7.0,Josh Allen pass complete short left to Keon Coleman for 17 yards (tackle by Alex Austin),2.85,4.17,16.0,2024,236
3.0,12:49,1.0,10.0,NWE 21,14.0,7.0,James Cook right guard for 5 yards (tackle by Deatrich Wise and Kyle Dugger),4.17,4.37,16.0,2024,236
3.0,12:08,2.0,5.0,NWE 16,14.0,7.0,James Cook right tackle for 2 yards (tackle by Deatrich Wise),4.37,4.02,16.0,2024,236
3.0,11:23,3.0,3.0,NWE 14,14.0,7.0,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Kyle Dugger),4.02,5.6,16.0,2024,236
3.0,10:42,1.0,7.0,NWE 7,14.0,7.0,Josh Allen pass incomplete short right,5.6,4.76,16.0,2024,236
3.0,10:29,2.0,7.0,NWE 7,14.0,7.0,James Cook right guard for 3 yards (tackle by Christian Elliss),4.76,4.49,16.0,2024,236
3.0,9:45,3.0,4.0,NWE 4,14.0,13.0,"Josh Allen pass complete short left to James Cook for 4 yards, touchdown",4.49,7.0,16.0,2024,236
3.0,9:41,,,NWE 15,14.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2024,236
3.0,9:41,,,BUF 35,14.0,14.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,236
3.0,9:41,1.0,10.0,NWE 30,14.0,14.0,Rhamondre Stevenson right guard for 8 yards (tackle by A.J. Epenesa and Dorian Williams),0.94,1.47,16.0,2024,236
3.0,9:09,2.0,2.0,NWE 38,14.0,14.0,"Rhamondre Stevenson right tackle for no gain (tackle by Gregory Rousseau) Replay Assistant challenged the fumble ruling, and the original play was overturned. Rhamondre Stevenson right tackle for 1 yard. Rhamondre Stevenson fumbles and Terrel Bernard), recovered by Dorian Williams at NE-42",1.47,-2.79,16.0,2024,236
3.0,9:04,1.0,10.0,NWE 42,14.0,14.0,Ray Davis up the middle for 8 yards (tackle by Sione Takitaki),2.79,3.32,16.0,2024,236
3.0,8:23,2.0,2.0,NWE 34,14.0,14.0,Ray Davis left end for 4 yards (tackle by Jahlani Tavai),3.32,3.58,16.0,2024,236
3.0,7:40,1.0,10.0,NWE 30,14.0,14.0,Josh Allen pass incomplete deep left intended for Khalil Shakir (defended by Jonathan Jones),3.58,3.03,16.0,2024,236
3.0,7:32,2.0,10.0,NWE 30,14.0,14.0,James Cook right tackle for no gain (tackle by Christian Elliss),3.03,2.34,16.0,2024,236
3.0,6:50,3.0,10.0,NWE 30,14.0,14.0,Josh Allen sacked by Jeremiah Pharms for -2 yards,2.34,1.24,16.0,2024,236
3.0,6:07,4.0,12.0,NWE 32,14.0,17.0,Tyler Bass 50 yard field goal good,1.24,3.0,16.0,2024,236
3.0,6:02,,,BUF 35,14.0,17.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,236
3.0,6:02,1.0,10.0,NWE 30,14.0,17.0,Drake Maye scrambles right end for 4 yards (tackle by Taron Johnson),0.94,0.93,16.0,2024,236
3.0,5:30,2.0,6.0,NWE 34,14.0,17.0,Antonio Gibson right end for 9 yards (tackle by Terrel Bernard),0.93,1.8,16.0,2024,236
3.0,4:49,1.0,10.0,NWE 43,14.0,17.0,Antonio Gibson right tackle for 4 yards (tackle by Cole Bishop and Kaiir Elam),1.8,1.79,16.0,2024,236
3.0,4:04,2.0,6.0,NWE 47,14.0,17.0,Drake Maye pass complete deep middle to Kayshon Boutte for 22 yards (tackle by Kaiir Elam),1.79,3.51,16.0,2024,236
3.0,3:25,1.0,10.0,BUF 31,14.0,17.0,Antonio Gibson up the middle for 2 yards (tackle by Dorian Williams),3.51,3.24,16.0,2024,236
3.0,2:44,2.0,8.0,BUF 29,14.0,17.0,Drake Maye pass incomplete short right intended for Hunter Henry,3.24,2.54,16.0,2024,236
3.0,2:38,3.0,8.0,BUF 29,14.0,17.0,Drake Maye pass complete short right to Rhamondre Stevenson for 13 yards (tackle by Cole Bishop),2.54,4.51,16.0,2024,236
3.0,1:59,1.0,10.0,BUF 16,14.0,17.0,Drake Maye pass deep right intended for Austin Hooper is intercepted by Cameron Lewis in end zone and returned for no gain,4.51,-0.28,16.0,2024,236
3.0,1:52,1.0,10.0,BUF 20,14.0,17.0,Josh Allen pass incomplete short right,0.28,-0.27,16.0,2024,236
3.0,1:47,2.0,10.0,BUF 20,14.0,17.0,Josh Allen scrambles right tackle for 12 yards (tackle by Jeremiah Pharms),-0.27,1.07,16.0,2024,236
3.0,1:14,1.0,10.0,BUF 32,14.0,17.0,James Cook left tackle for 3 yards (tackle by Kyle Dugger),1.07,0.93,16.0,2024,236
3.0,0:35,2.0,7.0,BUF 35,14.0,17.0,Josh Allen pass complete short middle to Khalil Shakir for 10 yards (tackle by Jonathan Jones and Christian Elliss),0.93,1.93,16.0,2024,236
4.0,15:00,1.0,10.0,BUF 45,14.0,17.0,"Ty Johnson left end for 4 yards (tackle by Jahlani Tavai and Marte Mapu). Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (accepted)",1.93,1.53,16.0,2024,236
4.0,14:30,1.0,16.0,BUF 39,14.0,17.0,"Josh Allen pass complete short left to Khalil Shakir for 12 yards. Khalil Shakir fumbles (forced by Jonathan Jones), recovered by Khalil Shakir at NE-49 (tackle by Jonathan Jones)",1.53,2.19,16.0,2024,236
4.0,13:31,2.0,4.0,NWE 49,14.0,17.0,James Cook left tackle for 8 yards (tackle by Kyle Dugger and Jaylinn Hawkins),2.19,2.85,16.0,2024,236
4.0,12:44,1.0,10.0,NWE 41,14.0,17.0,"James Cook right end for -1 yards. James Cook fumbles (tackle by Jahlani Tavai), recovered by O'Cyrus Torrence at NE-42 (tackle by Jahlani Tavai)",2.85,2.17,16.0,2024,236
4.0,12:00,2.0,11.0,NWE 42,14.0,17.0,Josh Allen scrambles left end for 7 yards (tackle by Yannick Ngakoue),2.17,2.41,16.0,2024,236
4.0,11:14,3.0,4.0,NWE 35,14.0,17.0,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",2.41,1.75,16.0,2024,236
4.0,11:14,3.0,9.0,NWE 40,14.0,17.0,Josh Allen pass incomplete deep left intended for Dalton Kincaid,1.75,0.59,16.0,2024,236
4.0,11:07,4.0,9.0,NWE 40,14.0,17.0,"Sam Martin punts 30 yards, fair catch by Alex Erickson at NE-10",0.59,0.38,16.0,2024,236
4.0,11:00,1.0,10.0,NWE 10,14.0,17.0,Rhamondre Stevenson up the middle for 2 yards (tackle by A.J. Epenesa and Joe Andreessen),-0.38,-0.63,16.0,2024,236
4.0,10:17,2.0,8.0,NWE 12,14.0,23.0,"Drake Maye aborted snap, recovered by Taron Johnson in end zone, touchdown",-0.63,-7.0,16.0,2024,236
4.0,10:10,,,NWE 15,14.0,24.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2024,236
4.0,10:10,,,BUF 35,14.0,24.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,236
4.0,10:10,1.0,10.0,NWE 30,14.0,24.0,Drake Maye pass complete short right to Demario Douglas for 9 yards (tackle by Terrel Bernard and Taron Johnson),0.94,1.61,16.0,2024,236
4.0,9:40,2.0,1.0,NWE 39,14.0,24.0,Drake Maye right guard for 2 yards (tackle by Von Miller),1.61,1.66,16.0,2024,236
4.0,9:23,1.0,10.0,NWE 41,14.0,24.0,Drake Maye pass complete short right to Kayshon Boutte for 9 yards (tackle by Kaiir Elam and Dorian Williams),1.66,2.34,16.0,2024,236
4.0,8:41,2.0,1.0,BUF 50,14.0,24.0,Drake Maye pass incomplete short left,2.34,1.62,16.0,2024,236
4.0,8:37,3.0,1.0,BUF 50,14.0,24.0,"Penalty on NWE: Delay of Game, 4 yards (accepted) (no play)",1.62,1.09,16.0,2024,236
4.0,8:37,3.0,5.0,NWE 46,14.0,24.0,Drake Maye pass incomplete short left intended for Hunter Henry,1.09,-0.32,16.0,2024,236
4.0,8:33,4.0,5.0,NWE 46,14.0,24.0,"Bryce Baringer punts 45 yards, fair catch by Brandon Codrington at BUF-9",-0.32,0.38,16.0,2024,236
4.0,8:26,1.0,10.0,BUF 9,14.0,24.0,Ray Davis up the middle for no gain (tackle by Eric Johnson and Marte Mapu),-0.38,-0.78,16.0,2024,236
4.0,7:39,2.0,10.0,BUF 9,14.0,24.0,Josh Allen pass complete short middle to Dawson Knox for 9 yards (tackle by Marte Mapu),-0.78,-0.37,16.0,2024,236
4.0,6:57,3.0,1.0,BUF 18,14.0,24.0,Josh Allen pass complete short right to Ray Davis for 17 yards (tackle by Christian Elliss),-0.37,1.27,16.0,2024,236
4.0,6:12,1.0,10.0,BUF 35,14.0,24.0,Ray Davis left guard for no gain (tackle by Davon Godchaux),1.27,0.72,16.0,2024,236
4.0,5:25,2.0,10.0,BUF 35,14.0,24.0,Josh Allen pass incomplete short left intended for Amari Cooper,0.72,0.04,16.0,2024,236
4.0,5:22,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2024,236
4.0,5:22,3.0,10.0,BUF 35,14.0,24.0,Josh Allen scrambles left tackle for 3 yards (tackle by Keion White),0.04,-0.85,16.0,2024,236
4.0,4:36,4.0,7.0,BUF 38,14.0,24.0,"Sam Martin punts 37 yards, fair catch by Alex Erickson at NE-25",-0.85,-0.61,16.0,2024,236
4.0,4:29,1.0,10.0,NWE 25,14.0,24.0,Drake Maye pass complete short right to Kendrick Bourne for 9 yards (tackle by Dorian Williams),0.61,1.28,16.0,2024,236
4.0,4:07,2.0,1.0,NWE 34,14.0,24.0,"Penalty on Demontrey Jacobs: False Start, 5 yards (accepted) (no play)",1.28,0.6,16.0,2024,236
