Unnamed: 0,NWE,BUF,week,year,game_id
First Downs,28,19,16.0,2024,236
Rush-Yds-TDs,30-126-1,28-172-1,16.0,2024,236
Cmp-Att-Yd-TD-INT,22-36-261-2-1,16-29-154-1-1,16.0,2024,236
Sacked-Yards,2-8,1-2,16.0,2024,236
Net Pass Yards,253,152,16.0,2024,236
Total Yards,379,324,16.0,2024,236
Fumbles-Lost,4-2,2-0,16.0,2024,236
Turnovers,3,1,16.0,2024,236
Penalties-Yards,5-34,13-78,16.0,2024,236
Third Down Conv.,7-12,4-11,16.0,2024,236
Fourth Down Conv.,2-2,1-1,16.0,2024,236
Time of Possession,30:57,29:03,16.0,2024,236
