Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Kendre Miller,NOR,8,15,0,2.0,1,0.1,14,1.8,1,8.0,16.0,2024,240
Spencer Rattler,NOR,5,28,0,1.0,28,5.6,0,0.0,0,,16.0,2024,240
Jordan Mims,NOR,4,16,0,0.0,13,3.3,3,0.8,0,,16.0,2024,240
Jamaal Williams,NOR,3,8,0,,5,1.7,3,1.0,0,,16.0,2024,240
Josh Jacobs,GNB,13,69,1,5.0,37,2.8,32,2.5,2,6.5,16.0,2024,240
Emanuel Wilson,GNB,11,52,1,3.0,32,2.9,20,1.8,1,11.0,16.0,2024,240
Chris Brooks,GNB,6,23,1,2.0,4,0.7,19,3.2,3,2.0,16.0,2024,240
Malik Willis,GNB,3,-2,0,0.0,-2,-0.7,0,0.0,0,,16.0,2024,240
Christian Watson,GNB,2,23,0,1.0,23,11.5,0,0.0,0,,16.0,2024,240
Tucker Kraft,GNB,1,2,0,1.0,2,2.0,0,0.0,0,,16.0,2024,240
Jordan Love,GNB,1,2,0,1.0,2,2.0,0,0.0,0,,16.0,2024,240
Bo Melton,GNB,1,14,0,1.0,7,7.0,7,7.0,1,1.0,16.0,2024,240
Jayden Reed,GNB,1,5,0,0.0,5,5.0,0,0.0,0,,16.0,2024,240
