Unnamed: 0,DET,CHI,week,year,game_id
First Downs,27,19,16.0,2024,230
Rush-Yds-TDs,32-146-1,17-59-0,16.0,2024,230
Cmp-Att-Yd-TD-INT,23-32-336-3-0,26-40-334-2-0,16.0,2024,230
Sacked-Yards,1-7,2-11,16.0,2024,230
Net Pass Yards,329,323,16.0,2024,230
Total Yards,475,382,16.0,2024,230
Fumbles-Lost,0-0,3-2,16.0,2024,230
Turnovers,0,2,16.0,2024,230
Penalties-Yards,7-55,10-70,16.0,2024,230
Third Down Conv.,7-12,2-10,16.0,2024,230
Fourth Down Conv.,0-1,3-4,16.0,2024,230
Time of Possession,31:29,28:31,16.0,2024,230
