Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Cowboys,2.0,-0.21,12.45,-11.74,0.0,-5.82,0.54,-6.36,6.98,9.0,-6.1,4.7,3.31,-0.08,7.17,16.0,2024,239
Buccaneers,-2.0,5.82,-0.54,6.36,-6.98,0.21,-12.45,11.74,0.0,-9.0,-4.7,6.1,0.08,-3.31,-7.17,16.0,2024,239
