Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,16.0,2024,237
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
1.0,15:00,1.0,10.0,JAX 30,0.0,0.0,Travis Etienne up the middle for no gain (tackle by Robert Spillane and Tre'von Moehrig),0.94,0.39,16.0,2024,237
1.0,14:26,2.0,10.0,JAX 30,0.0,0.0,Mac Jones pass incomplete short right intended for Luke Farrell (defended by Jack Jones),0.39,-0.3,16.0,2024,237
1.0,14:21,3.0,10.0,JAX 30,0.0,0.0,Mac Jones pass complete short right to Parker Washington for 9 yards (tackle by Jack Jones),-0.3,-0.78,16.0,2024,237
1.0,13:37,4.0,1.0,JAX 39,0.0,0.0,Tank Bigsby right guard for 10 yards (tackle by Isaiah Pola-Mao and Jack Jones),-0.78,2.19,16.0,2024,237
1.0,12:58,1.0,10.0,JAX 49,0.0,0.0,Tank Bigsby left tackle for 2 yards (tackle by K'Lavon Chaisson),2.19,1.92,16.0,2024,237
1.0,12:30,2.0,8.0,LVR 49,0.0,0.0,Mac Jones pass incomplete short middle intended for Brian Thomas (defended by John Jenkins),1.92,1.22,16.0,2024,237
1.0,12:27,3.0,8.0,LVR 49,0.0,0.0,Mac Jones pass complete short right to Parker Washington for 1 yard (tackle by Charles Snowden),1.22,0.07,16.0,2024,237
1.0,11:52,4.0,7.0,LVR 48,0.0,0.0,Logan Cooke punts 45 yards out of bounds,0.07,0.38,16.0,2024,237
1.0,11:45,1.0,10.0,LVR 3,0.0,0.0,Aidan O'Connell pass complete short right to Brock Bowers for 32 yards (tackle by Andre Cisco),-0.38,1.27,16.0,2024,237
1.0,11:05,1.0,10.0,LVR 35,0.0,0.0,Aidan O'Connell pass incomplete short left intended for Brock Bowers,1.27,0.72,16.0,2024,237
1.0,11:01,2.0,10.0,LVR 35,0.0,0.0,"Aidan O'Connell scrambles right end for no gain (tackle by Jarrian Jones). Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",0.72,-0.63,16.0,2024,237
1.0,10:36,2.0,20.0,LVR 25,0.0,0.0,Aidan O'Connell sacked by Maason Smith for -6 yards,-0.63,-2.23,16.0,2024,237
1.0,9:54,3.0,26.0,LVR 19,0.0,0.0,Alexander Mattison left guard for 4 yards (tackle by Arik Armstead),-2.23,-1.83,16.0,2024,237
1.0,9:11,4.0,22.0,LVR 23,0.0,0.0,"AJ Cole punts 51 yards, returned by Devin Duvernay for 3 yards (tackle by John Samuel Shenker)",-1.83,-0.87,16.0,2024,237
1.0,9:03,1.0,10.0,JAX 29,0.0,0.0,Travis Etienne up the middle for 1 yard (tackle by John Jenkins and Robert Spillane),0.87,0.46,16.0,2024,237
1.0,8:18,2.0,9.0,JAX 30,0.0,0.0,Mac Jones pass complete short right to Brenton Strange for 13 yards (tackle by Tre'von Moehrig),0.46,1.8,16.0,2024,237
1.0,7:52,1.0,10.0,JAX 43,0.0,0.0,Travis Etienne up the middle for 12 yards (tackle by Isaiah Pola-Mao),1.8,2.59,16.0,2024,237
1.0,7:28,1.0,10.0,LVR 45,0.0,0.0,Mac Jones pass incomplete short right intended for Brenton Strange (defended by Tre'von Moehrig),2.59,2.04,16.0,2024,237
1.0,7:22,2.0,10.0,LVR 45,0.0,0.0,Mac Jones pass incomplete deep right intended for Brian Thomas,2.04,1.36,16.0,2024,237
1.0,7:17,3.0,10.0,LVR 45,0.0,0.0,Mac Jones pass incomplete short right intended for Josh Reynolds,1.36,0.27,16.0,2024,237
1.0,7:12,4.0,10.0,LVR 45,0.0,0.0,Logan Cooke punts 31 yards out of bounds,0.27,0.28,16.0,2024,237
1.0,7:06,1.0,10.0,LVR 14,0.0,0.0,Aidan O'Connell pass complete short middle to Alexander Mattison for 12 yards (tackle by Travon Walker),-0.28,0.67,16.0,2024,237
1.0,6:25,1.0,10.0,LVR 26,0.0,0.0,Tre Tucker up the middle for -8 yards (tackle by Darnell Savage),0.67,-1.05,16.0,2024,237
1.0,5:44,2.0,18.0,LVR 18,0.0,0.0,Alexander Mattison up the middle for 4 yards (tackle by Foyesade Oluokun),-1.05,-1.09,16.0,2024,237
1.0,5:18,3.0,14.0,LVR 22,0.0,0.0,Aidan O'Connell sacked by Arik Armstead for -6 yards,-1.09,-2.39,16.0,2024,237
1.0,4:19,4.0,20.0,LVR 16,0.0,0.0,"AJ Cole punts 54 yards, returned by Devin Duvernay for 26 yards (tackle by Isaiah Pola-Mao). Penalty on Amari Gainer: Unnecessary Roughness / Defense, 15 yards (accepted)",-2.39,-3.64,16.0,2024,237
1.0,4:04,1.0,10.0,LVR 29,0.0,0.0,Tank Bigsby up the middle for 1 yard (tackle by Amari Burney and John Jenkins),3.64,3.24,16.0,2024,237
1.0,3:25,2.0,9.0,LVR 28,0.0,0.0,"Mac Jones pass incomplete short right intended for Travis Etienne (defended by K'Lavon Chaisson) LVR challenged the pass interception ruling, and the play was upheld.",3.24,2.54,16.0,2024,237
1.0,3:20,3.0,9.0,LVR 28,0.0,0.0,"Mac Jones pass complete short middle to Brian Thomas for 16 yards (tackle by Jack Jones and Thomas Harper). Penalty on Decamerion Richardson: Illegal Use of Hands / Defense, 5 yards (declined)",2.54,4.78,16.0,2024,237
1.0,2:57,1.0,10.0,LVR 12,0.0,0.0,Tank Bigsby up the middle for 3 yards (tackle by Zachary Carter and John Jenkins),4.78,4.64,16.0,2024,237
1.0,2:16,2.0,7.0,LVR 9,0.0,0.0,"Mac Jones pass incomplete short left intended for Parker Washington. Penalty on Darnay Holmes: Defensive Pass Interference, 8 yards (accepted) (no play)",4.64,6.97,16.0,2024,237
1.0,2:12,1.0,1.0,LVR 1,0.0,0.0,Tank Bigsby up the middle for no gain (tackle by Robert Spillane),6.97,5.91,16.0,2024,237
1.0,1:35,2.0,1.0,LVR 1,6.0,0.0,"Tank Bigsby up the middle for 1 yard, touchdown",5.91,7.0,16.0,2024,237
1.0,1:32,,,LVR 15,7.0,0.0,Cam Little kicks extra point good,0.0,0.0,16.0,2024,237
1.0,1:32,,,JAX 35,7.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
1.0,1:32,1.0,10.0,LVR 30,7.0,0.0,Alexander Mattison left guard for 3 yards (tackle by Maason Smith and DaVon Hamilton),0.94,0.8,16.0,2024,237
1.0,0:54,2.0,7.0,LVR 33,7.0,0.0,"Aidan O'Connell scrambles left tackle for 13 yards (tackle by DaVon Hamilton). Penalty on Arik Armstead: Defensive Offside, 5 yards (declined)",0.8,1.99,16.0,2024,237
1.0,0:25,1.0,10.0,LVR 46,7.0,0.0,"Aidan O'Connell pass complete short right to Jakobi Meyers for 24 yards (tackle by Ventrell Miller). Penalty on Arik Armstead: Defensive Offside, 5 yards (declined)",1.99,3.58,16.0,2024,237
2.0,15:00,1.0,10.0,JAX 30,7.0,0.0,Aidan O'Connell pass complete deep left to Tre Tucker for 29 yards (tackle by Tyson Campbell),3.58,6.97,16.0,2024,237
2.0,14:16,1.0,1.0,JAX 1,7.0,0.0,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers,6.97,5.91,16.0,2024,237
2.0,14:10,2.0,1.0,JAX 1,7.0,6.0,"Alexander Mattison left guard for 1 yard, touchdown",5.91,7.0,16.0,2024,237
2.0,14:05,,,JAX 15,7.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,16.0,2024,237
2.0,14:05,,,LVR 35,7.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
2.0,14:05,1.0,10.0,JAX 30,7.0,7.0,"Mac Jones sacked by Divine Deablo for no gain. Penalty on Mitch Morse: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,16.0,2024,237
2.0,13:45,1.0,20.0,JAX 20,7.0,7.0,Travis Etienne right guard for 1 yard (tackle by Tyree Wilson),0.28,-0.82,16.0,2024,237
2.0,13:08,2.0,19.0,JAX 21,7.0,7.0,Mac Jones pass incomplete short middle intended for Brian Thomas,-0.82,-1.48,16.0,2024,237
2.0,13:03,3.0,19.0,JAX 21,7.0,7.0,"Travis Etienne up the middle for 8 yards (tackle by Tre'von Moehrig and Thomas Harper). Penalty on Brenton Strange: Illegal Formation, 5 yards (declined)",-1.48,-1.44,16.0,2024,237
2.0,12:48,4.0,11.0,JAX 29,7.0,7.0,"Logan Cooke punts 44 yards, returned by Ameer Abdullah for 9 yards (tackle by Caleb Johnson and Daniel Thomas)",-1.44,-1.33,16.0,2024,237
2.0,12:39,1.0,10.0,LVR 36,7.0,7.0,Aidan O'Connell pass complete short left to Tre Tucker for 12 yards (tackle by Tyson Campbell),1.33,2.13,16.0,2024,237
2.0,12:04,1.0,10.0,LVR 48,7.0,7.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 17 yards (tackle by Jarrian Jones),2.13,3.25,16.0,2024,237
2.0,11:25,1.0,10.0,JAX 35,7.0,7.0,Aidan O'Connell pass complete short left to Brock Bowers for 4 yards (tackle by Devin Lloyd),3.25,3.24,16.0,2024,237
2.0,10:45,2.0,6.0,JAX 31,7.0,7.0,Aidan O'Connell pass incomplete short right,3.24,2.54,16.0,2024,237
2.0,10:39,3.0,6.0,JAX 31,7.0,7.0,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers,2.54,1.34,16.0,2024,237
2.0,10:33,4.0,6.0,JAX 31,7.0,10.0,Daniel Carlson 49 yard field goal good,1.34,3.0,16.0,2024,237
2.0,10:28,,,LVR 35,7.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
2.0,10:28,1.0,10.0,JAX 30,7.0,10.0,Mac Jones pass complete deep right to Brian Thomas for no gain (tackle by Decamerion Richardson) (no play),0.94,0.61,16.0,2024,237
2.0,10:06,1.0,15.0,JAX 25,7.0,10.0,Travis Etienne left tackle for 2 yards (tackle by Charles Snowden and Isaiah Pola-Mao),0.61,-0.01,16.0,2024,237
2.0,9:28,2.0,13.0,JAX 27,7.0,10.0,Mac Jones pass incomplete short right,-0.01,-0.69,16.0,2024,237
2.0,9:20,3.0,13.0,JAX 27,7.0,10.0,Mac Jones pass incomplete short middle intended for D'Ernest Johnson (defended by Charles Snowden),-0.69,-1.57,16.0,2024,237
2.0,9:14,4.0,13.0,JAX 27,7.0,10.0,"Logan Cooke punts 55 yards, returned by Ameer Abdullah for 19 yards (tackle by Caleb Johnson)",-1.57,-1.4,16.0,2024,237
2.0,9:01,1.0,10.0,LVR 37,7.0,10.0,Aidan O'Connell pass complete short left to Ameer Abdullah for 9 yards (tackle by DaVon Hamilton),1.4,2.07,16.0,2024,237
2.0,8:23,2.0,1.0,LVR 46,7.0,10.0,Aidan O'Connell up the middle for 3 yards (tackle by DaVon Hamilton),2.07,2.19,16.0,2024,237
2.0,7:51,1.0,10.0,LVR 49,7.0,10.0,Ameer Abdullah left guard for 5 yards (tackle by Devin Lloyd),2.19,2.32,16.0,2024,237
2.0,7:14,2.0,5.0,JAX 46,7.0,10.0,Ameer Abdullah left guard for 10 yards (tackle by Devin Lloyd),2.32,3.18,16.0,2024,237
2.0,6:38,1.0,10.0,JAX 36,7.0,10.0,Aidan O'Connell pass complete short left to Brock Bowers for 9 yards (tackle by Devin Lloyd),3.18,3.85,16.0,2024,237
2.0,6:03,2.0,1.0,JAX 27,7.0,10.0,Aidan O'Connell right guard for 3 yards (tackle by Foyesade Oluokun),3.85,3.97,16.0,2024,237
2.0,5:27,1.0,10.0,JAX 24,7.0,10.0,Alexander Mattison left tackle for -2 yards (tackle by Tyler Lacy and Devin Lloyd),3.97,3.16,16.0,2024,237
2.0,4:46,2.0,12.0,JAX 26,7.0,10.0,Aidan O'Connell pass incomplete short left intended for Ameer Abdullah (defended by Foyesade Oluokun),3.16,2.48,16.0,2024,237
2.0,4:40,3.0,12.0,JAX 26,7.0,10.0,Aidan O'Connell pass complete short left to Alexander Mattison for 7 yards (tackle by Antonio Johnson),2.48,2.24,16.0,2024,237
2.0,4:00,4.0,5.0,JAX 19,7.0,13.0,Daniel Carlson 37 yard field goal good,2.24,3.0,16.0,2024,237
2.0,3:56,,,LVR 35,7.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
2.0,3:56,1.0,10.0,JAX 30,7.0,13.0,"Tank Bigsby right guard for 10 yards. Tank Bigsby fumbles (forced by Isaiah Pola-Mao), recovered by Tre'von Moehrig at JAC-45 (tackle by Isaiah Pola-Mao)",0.94,-2.59,16.0,2024,237
2.0,3:50,1.0,10.0,JAX 45,7.0,13.0,Alexander Mattison up the middle for 4 yards (tackle by Travon Walker),2.59,2.58,16.0,2024,237
2.0,3:27,2.0,6.0,JAX 41,7.0,13.0,Aidan O'Connell pass incomplete short left intended for Alexander Mattison,2.58,1.88,16.0,2024,237
2.0,3:22,3.0,6.0,JAX 41,7.0,13.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",1.88,1.22,16.0,2024,237
