Quarter,Time,Down,ToGo,Location,NOR,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Packers to receive the opening kickoff.",,,16.0,2024,240
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 66 yards, returned by Keisean Nixon for 38 yards (tackle by Adam Prentice and J.T. Gray)",0.0,1.4,16.0,2024,240
1.0,14:55,1.0,10.0,GNB 37,0.0,0.0,Jayden Reed left end for 5 yards (tackle by Will Harris),1.4,1.53,16.0,2024,240
1.0,14:17,2.0,5.0,GNB 42,0.0,0.0,Josh Jacobs up the middle for -1 yards (tackle by Cameron Jordan),1.53,0.7,16.0,2024,240
1.0,13:53,3.0,6.0,GNB 41,0.0,0.0,"Penalty on Cameron Jordan: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.7,1.36,16.0,2024,240
1.0,13:41,3.0,1.0,GNB 46,0.0,0.0,Josh Jacobs right end for 3 yards (tackle by Ugo Amadi),1.36,2.19,16.0,2024,240
1.0,12:50,1.0,10.0,GNB 49,0.0,0.0,Josh Jacobs left end for 7 yards (tackle by John Ridgeway),2.19,2.59,16.0,2024,240
1.0,12:10,2.0,3.0,NOR 44,0.0,0.0,Jordan Love pass complete short right to Josh Jacobs for 11 yards (tackle by Pete Werner and Demario Davis),2.59,3.38,16.0,2024,240
1.0,11:24,1.0,10.0,NOR 33,0.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 12 yards (tackle by Demario Davis),3.38,4.17,16.0,2024,240
1.0,10:44,1.0,10.0,NOR 21,0.0,0.0,Josh Jacobs right end for 20 yards (tackle by Tyrann Mathieu),4.17,6.97,16.0,2024,240
1.0,10:03,1.0,1.0,NOR 1,0.0,0.0,Josh Jacobs up the middle for no gain (tackle by Cameron Jordan and Khalen Saunders),6.97,5.91,16.0,2024,240
1.0,9:23,2.0,1.0,NOR 1,0.0,0.0,Jordan Love pass complete short middle to Dontayvion Wicks for -1 yards (tackle by Khalen Saunders),5.91,4.95,16.0,2024,240
1.0,8:45,3.0,2.0,NOR 2,0.0,6.0,"Jordan Love pass complete short middle to Dontayvion Wicks for 2 yards, touchdown",4.95,7.0,16.0,2024,240
1.0,8:41,,,NOR 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,16.0,2024,240
1.0,8:41,,,GNB 35,0.0,7.0,"Brandon McManus kicks off 63 yards, returned by Dante Pettis for 32 yards (tackle by Bo Melton and Eric Wilson)",0.0,1.2,16.0,2024,240
1.0,8:36,1.0,10.0,NOR 34,0.0,7.0,Spencer Rattler scrambles right end for 7 yards (tackle by Eric Wilson),1.2,1.6,16.0,2024,240
1.0,8:02,2.0,3.0,NOR 41,0.0,7.0,Kendre Miller left guard for 4 yards (tackle by Rashan Gary),1.6,1.93,16.0,2024,240
1.0,7:29,1.0,10.0,NOR 45,0.0,7.0,Spencer Rattler pass complete short middle to Foster Moreau for 12 yards (tackle by Zayne Anderson),1.93,2.72,16.0,2024,240
1.0,6:55,1.0,10.0,GNB 43,0.0,7.0,Kendre Miller right end for no gain (tackle by Devonte Wyatt and Colby Wooden),2.72,2.18,16.0,2024,240
