Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Drew Lock,NYG,22,39,210,11,26.2,212,5.4,55,2.5,1.4,155,7.0,0,0.0%,8,21.6%,3,9,8,3,14,33.3%,0,,16.0,2024,228
Michael Penix,ATL,18,27,202,10,37.0,159,5.9,98,5.4,3.6,104,5.8,2,7.7%,3,11.5%,0,8,2,2,4,13.8%,2,3.0,16.0,2024,228
