Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,,16.0,2024,227
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,227
1.0,15:00,1.0,10.0,BAL 30,0.0,0.0,Derrick Henry right guard for 6 yards (tackle by Patrick Queen),0.94,1.2,16.0,2024,227
1.0,14:28,2.0,4.0,BAL 36,0.0,0.0,Derrick Henry left tackle for 14 yards (tackle by Damontae Kazee),1.2,2.26,16.0,2024,227
1.0,13:53,1.0,10.0,BAL 50,0.0,0.0,Zay Flowers left end for 3 yards (tackle by Payton Wilson),2.26,2.12,16.0,2024,227
1.0,13:08,2.0,7.0,PIT 47,0.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for 14 yards (tackle by Joey Porter),2.12,3.38,16.0,2024,227
1.0,12:31,1.0,10.0,PIT 33,0.0,0.0,Derrick Henry left tackle for no gain (tackle by Mark Robinson),3.38,2.84,16.0,2024,227
1.0,11:51,2.0,10.0,PIT 33,0.0,0.0,"Lamar Jackson sacked by Alex Highsmith for -9 yards. Lamar Jackson fumbles (forced by Alex Highsmith), recovered by Ronnie Stanley at PIT-42",2.84,0.96,16.0,2024,227
1.0,11:07,3.0,19.0,PIT 42,0.0,0.0,Lamar Jackson pass incomplete short right intended for Justice Hill,0.96,0.46,16.0,2024,227
1.0,11:01,4.0,19.0,PIT 42,0.0,0.0,Jordan Stout punts 39 yards downed by Devontez Walker,0.46,0.38,16.0,2024,227
1.0,10:51,1.0,10.0,PIT 3,0.0,0.0,Najee Harris right guard for 5 yards (tackle by Roquan Smith),-0.38,-0.42,16.0,2024,227
1.0,10:09,2.0,5.0,PIT 8,0.0,0.0,Najee Harris right guard for 3 yards (tackle by Nnamdi Madubuike and Travis Jones),-0.42,-0.48,16.0,2024,227
1.0,9:17,3.0,2.0,PIT 11,0.0,0.0,"Russell Wilson pass incomplete short left Penalty on PIT: Illegal Shift, 5 yards (declined)",-0.48,-2.49,16.0,2024,227
1.0,9:17,4.0,2.0,PIT 11,0.0,0.0,"Corliss Waitman punts 58 yards, returned by Desmond King for 16 yards. Desmond King fumbles (forced by James Pierre), recovered by Chris Board at PIT-41",-2.49,-2.85,16.0,2024,227
1.0,9:00,1.0,10.0,PIT 41,0.0,0.0,Derrick Henry up the middle for 11 yards (tackle by Damontae Kazee),2.85,3.58,16.0,2024,227
