Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Spencer Rattler,NOR,15,30,153,9,27.3,270,9.0,93,6.2,3.1,60,4.0,3,10.3%,8,27.6%,3,2,3,3,9,23.7%,5,5.6,16.0,2024,240
Jordan Love,GNB,16,28,182,9,32.1,193,6.9,69,4.3,2.5,113,7.1,1,4.0%,5,20.0%,0,10,2,3,5,17.9%,0,,16.0,2024,240
Malik Willis,GNB,1,2,34,1,50.0,38,19.0,25,25.0,12.5,9,9.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,16.0,2024,240
