Unnamed: 0,NOR,GNB,week,year,game_id
First Downs,14,24,16.0,2024,240
Rush-Yds-TDs,20-67-0,39-188-3,16.0,2024,240
Cmp-Att-Yd-TD-INT,15-30-153-0-1,17-30-216-1-0,16.0,2024,240
Sacked-Yards,3-24,0-0,16.0,2024,240
Net Pass Yards,129,216,16.0,2024,240
Total Yards,196,404,16.0,2024,240
Fumbles-Lost,2-1,0-0,16.0,2024,240
Turnovers,2,0,16.0,2024,240
Penalties-Yards,7-40,6-60,16.0,2024,240
Third Down Conv.,4-11,6-13,16.0,2024,240
Fourth Down Conv.,0-2,3-3,16.0,2024,240
Time of Possession,22:47,37:13,16.0,2024,240
