Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,,16.0,2024,232
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 62 yards, returned by Tyjae Spears for 27 yards (tackle by Segun Olubi and Cameron McGrone)",0.0,0.94,16.0,2024,232
1.0,14:53,1.0,10.0,TEN 30,0.0,0.0,Tony Pollard left end for 3 yards (tackle by Grant Stuard),0.94,0.8,16.0,2024,232
1.0,14:29,2.0,7.0,TEN 33,0.0,0.0,Mason Rudolph pass complete short middle to Tyler Boyd for 6 yards (tackle by Jaylon Carlies),0.8,0.89,16.0,2024,232
1.0,13:52,3.0,1.0,TEN 39,0.0,0.0,Mason Rudolph right guard for no gain (tackle by DeForest Buckner),0.89,-0.78,16.0,2024,232
1.0,13:03,4.0,1.0,TEN 39,0.0,0.0,Ryan Stonehouse punts 60 yards downed by Justin Hardee,-0.78,0.38,16.0,2024,232
1.0,12:49,1.0,10.0,IND 1,0.0,0.0,"Penalty on Jeffery Simmons: Encroachment, 5 yards (accepted) (no play)",-0.38,-0.19,16.0,2024,232
1.0,12:49,1.0,5.0,IND 6,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Sebastian Joseph-Day),-0.19,-0.34,16.0,2024,232
1.0,12:16,2.0,4.0,IND 8,0.0,0.0,Anthony Richardson pass complete short right to Michael Pittman for 9 yards (tackle by Kenneth Murray),-0.34,-0.06,16.0,2024,232
1.0,11:59,1.0,10.0,IND 17,0.0,0.0,Anthony Richardson pass incomplete short right intended for Mo Alie-Cox,-0.06,-0.58,16.0,2024,232
1.0,11:49,2.0,10.0,IND 17,0.0,0.0,Anthony Richardson left end for 7 yards (tackle by Daryl Worley),-0.58,-0.37,16.0,2024,232
1.0,11:26,3.0,3.0,IND 24,0.0,0.0,Anthony Richardson pass incomplete short right intended for Michael Pittman,-0.37,-1.77,16.0,2024,232
1.0,11:06,4.0,3.0,IND 24,0.0,0.0,"Rigoberto Sanchez punts 49 yards, returned by Mason Kinsey for 8 yards (tackle by Andrew Ogletree and Cameron McGrone)",-1.77,-1.27,16.0,2024,232
1.0,10:55,1.0,10.0,TEN 35,0.0,0.0,Tony Pollard up the middle for 3 yards (tackle by Jaylon Carlies and DeForest Buckner),1.27,1.13,16.0,2024,232
1.0,10:22,2.0,7.0,TEN 38,0.0,0.0,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Laiatu Latu),1.13,1.22,16.0,2024,232
1.0,9:44,3.0,1.0,TEN 44,0.0,0.0,Mason Rudolph pass complete short middle to Tyler Boyd for 14 yards (tackle by Julian Blackmon),1.22,2.79,16.0,2024,232
1.0,9:06,1.0,10.0,IND 42,0.0,0.0,Tony Pollard left tackle for no gain (tackle by Laiatu Latu and DeForest Buckner),2.79,2.24,16.0,2024,232
1.0,8:31,2.0,10.0,IND 42,0.0,0.0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 4 yards (tackle by Jaylon Carlies),2.24,2.08,16.0,2024,232
1.0,7:53,3.0,6.0,IND 38,6.0,0.0,"Mason Rudolph pass complete deep right to Calvin Ridley for 38 yards, touchdown",2.08,7.0,16.0,2024,232
1.0,7:47,,,IND 15,7.0,0.0,Brayden Narveson kicks extra point good,0.0,0.0,16.0,2024,232
1.0,7:47,,,TEN 35,7.0,0.0,"Brayden Narveson kicks off 63 yards, returned by Anthony Gould for 40 yards (tackle by Cedric Gray)",0.0,1.73,16.0,2024,232
1.0,7:40,1.0,10.0,IND 42,7.0,0.0,Anthony Richardson pass complete short middle to Josh Downs for 3 yards (tackle by Harold Landry),1.73,1.59,16.0,2024,232
1.0,7:06,2.0,7.0,IND 45,7.0,0.0,Anthony Richardson right tackle for 4 yards (tackle by Harold Landry),1.59,1.42,16.0,2024,232
1.0,6:50,3.0,3.0,IND 49,7.0,0.0,"Penalty on Mark Glowinski: False Start, 5 yards (accepted) (no play)",1.42,0.76,16.0,2024,232
1.0,6:34,3.0,8.0,IND 44,7.0,0.0,Anthony Richardson scrambles left end for 7 yards (tackle by Roger McCreary),0.76,0.0,16.0,2024,232
1.0,6:07,4.0,1.0,TEN 49,7.0,0.0,Jonathan Taylor right guard for 6 yards (tackle by Amani Hooker),0.0,2.72,16.0,2024,232
1.0,5:32,1.0,10.0,TEN 43,7.0,0.0,Jonathan Taylor left guard for 1 yard (tackle by Harold Landry and Jeffery Simmons),2.72,2.31,16.0,2024,232
1.0,4:51,2.0,9.0,TEN 42,7.0,0.0,Anthony Richardson pass complete short right to Mo Alie-Cox for 15 yards (tackle by Otis Reese),2.31,3.78,16.0,2024,232
1.0,4:11,1.0,10.0,TEN 27,7.0,0.0,Anthony Richardson pass deep middle intended for Andrew Ogletree is intercepted by Amani Hooker at TEN-6 and returned for 19 yards (tackle by Mark Glowinski),3.78,-0.61,16.0,2024,232
1.0,4:03,1.0,10.0,TEN 25,7.0,0.0,Mason Rudolph pass complete short left to Tony Pollard for 8 yards (tackle by Jaylon Carlies and Zaire Franklin),0.61,1.14,16.0,2024,232
1.0,3:37,2.0,2.0,TEN 33,7.0,0.0,Tony Pollard left tackle for 1 yard (tackle by Jaylon Carlies),1.14,0.56,16.0,2024,232
1.0,2:57,3.0,1.0,TEN 34,7.0,0.0,Tony Pollard up the middle for 17 yards (tackle by Grant Stuard),0.56,2.32,16.0,2024,232
1.0,2:13,1.0,10.0,IND 49,7.0,0.0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 4 yards (tackle by Jaylon Jones),2.32,2.32,16.0,2024,232
1.0,1:31,2.0,6.0,IND 45,7.0,0.0,Mason Rudolph pass complete short right to David Martin-Robinson for 6 yards (tackle by Kwity Paye),2.32,2.98,16.0,2024,232
1.0,0:58,1.0,10.0,IND 39,7.0,0.0,Tyjae Spears left guard for 1 yard (tackle by DeForest Buckner),2.98,2.58,16.0,2024,232
2.0,15:00,2.0,9.0,IND 38,7.0,0.0,Tyjae Spears left end for 3 yards (tackle by Laiatu Latu),2.58,2.28,16.0,2024,232
2.0,14:20,3.0,6.0,IND 35,7.0,0.0,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine (defended by DeForest Buckner),2.28,0.97,16.0,2024,232
2.0,14:16,4.0,6.0,IND 35,7.0,0.0,Brayden Narveson 53 yard field goal no good,0.97,-1.8,16.0,2024,232
2.0,14:11,1.0,10.0,IND 43,7.0,0.0,Jonathan Taylor up the middle for 8 yards (tackle by Amani Hooker and Chidobe Awuzie),1.8,2.33,16.0,2024,232
2.0,13:33,2.0,2.0,TEN 49,7.0,0.0,Jonathan Taylor up the middle for 8 yards (tackle by Chidobe Awuzie and Otis Reese),2.33,2.85,16.0,2024,232
2.0,12:58,1.0,10.0,TEN 41,7.0,0.0,Anthony Richardson left guard for 29 yards (tackle by Amani Hooker),2.85,4.78,16.0,2024,232
2.0,12:30,1.0,10.0,TEN 12,7.0,0.0,Jonathan Taylor up the middle for 5 yards (tackle by Chidobe Awuzie),4.78,5.02,16.0,2024,232
2.0,11:48,2.0,5.0,TEN 7,7.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Jarvis Brownlee),5.02,4.61,16.0,2024,232
2.0,11:05,3.0,3.0,TEN 5,7.0,6.0,"Anthony Richardson left end for 5 yards, touchdown",4.61,7.0,16.0,2024,232
2.0,11:01,,,TEN 15,7.0,7.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2024,232
2.0,11:01,,,IND 35,7.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,232
2.0,11:01,1.0,10.0,TEN 30,7.0,7.0,"Mason Rudolph pass complete deep right to Calvin Ridley for no gain. Penalty on Daniel Brunskill: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.94,0.28,16.0,2024,232
2.0,10:37,1.0,20.0,TEN 20,7.0,7.0,Mason Rudolph pass complete deep right to Calvin Ridley for 19 yards (tackle by Julian Blackmon),0.28,1.61,16.0,2024,232
2.0,9:55,2.0,1.0,TEN 39,7.0,7.0,Mason Rudolph pass incomplete short right intended for Chigoziem Okonkwo,1.61,0.89,16.0,2024,232
2.0,9:50,3.0,1.0,TEN 39,7.0,7.0,Mason Rudolph pass incomplete deep left intended for Chigoziem Okonkwo,0.89,-0.78,16.0,2024,232
2.0,9:43,4.0,1.0,TEN 39,7.0,7.0,"Ryan Stonehouse punts 61 yards, touchback.",-0.78,-0.28,16.0,2024,232
2.0,9:35,1.0,10.0,IND 20,7.0,7.0,Jonathan Taylor up the middle for 5 yards (tackle by Sebastian Joseph-Day),0.28,0.41,16.0,2024,232
2.0,8:54,2.0,5.0,IND 25,7.0,7.0,Jonathan Taylor up the middle for 4 yards (tackle by Amani Hooker and Arden Key),0.41,0.23,16.0,2024,232
2.0,8:16,3.0,1.0,IND 29,7.0,7.0,Jonathan Taylor left tackle for 6 yards (tackle by Otis Reese and Harold Landry),0.23,1.27,16.0,2024,232
2.0,7:36,1.0,10.0,IND 35,7.0,13.0,"Jonathan Taylor left guard for 65 yards, touchdown",1.27,7.0,16.0,2024,232
2.0,7:25,,,TEN 15,7.0,14.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2024,232
2.0,7:25,,,IND 35,7.0,14.0,"Matt Gay kicks off 64 yards, returned by Tyjae Spears for 42 yards (tackle by Tre Flowers and Matt Gay)",0.0,1.8,16.0,2024,232
2.0,7:19,1.0,10.0,TEN 43,7.0,14.0,Tony Pollard up the middle for 3 yards (tackle by Grover Stewart and Jaylon Carlies),1.8,1.66,16.0,2024,232
2.0,6:37,2.0,7.0,TEN 46,7.0,14.0,Mason Rudolph pass incomplete short right intended for Tony Pollard,1.66,0.96,16.0,2024,232
2.0,6:33,3.0,7.0,TEN 46,7.0,14.0,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Nick Cross),0.96,-0.32,16.0,2024,232
2.0,6:29,4.0,7.0,TEN 46,7.0,14.0,"Ryan Stonehouse punts 46 yards, returned by Anthony Gould for 14 yards (tackle by Jaylen Harrell)",-0.32,-0.41,16.0,2024,232
2.0,6:20,1.0,10.0,IND 22,7.0,14.0,Trey Sermon left guard for 5 yards (tackle by Jeffery Simmons and Otis Reese),0.41,0.54,16.0,2024,232
2.0,5:46,2.0,5.0,IND 27,7.0,14.0,Trey Sermon right tackle for no gain (tackle by Kenneth Murray and Harold Landry),0.54,-0.16,16.0,2024,232
2.0,5:09,3.0,5.0,IND 27,7.0,14.0,Anthony Richardson pass complete deep right to Adonai Mitchell for 36 yards,-0.16,3.12,16.0,2024,232
2.0,4:37,1.0,10.0,TEN 37,7.0,14.0,"Trey Sermon right guard for 4 yards (tackle by Chidobe Awuzie and Jeffery Simmons). Penalty on Jeffery Simmons: Unnecessary Roughness / Defense, 15 yards (accepted)",3.12,4.37,16.0,2024,232
2.0,4:13,1.0,10.0,TEN 18,7.0,14.0,Jonathan Taylor right guard for 1 yard (tackle by James Williams),4.37,3.94,16.0,2024,232
2.0,3:35,2.0,9.0,TEN 17,7.0,14.0,Jonathan Taylor up the middle for no gain (tackle by Jarvis Brownlee and Cedric Gray),3.94,3.17,16.0,2024,232
2.0,2:56,3.0,9.0,TEN 17,7.0,14.0,Anthony Richardson scrambles right end for 4 yards (tackle by Cedric Gray and James Williams),3.17,2.62,16.0,2024,232
2.0,2:13,4.0,5.0,TEN 13,7.0,17.0,Matt Gay 31 yard field goal good,2.62,3.0,16.0,2024,232
2.0,2:09,,,IND 35,7.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,232
2.0,2:09,1.0,10.0,TEN 30,7.0,17.0,Tyjae Spears right guard for no gain (tackle by Grover Stewart),0.94,0.39,16.0,2024,232
2.0,2:00,2.0,10.0,TEN 30,7.0,17.0,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Jaylon Jones),0.39,0.5,16.0,2024,232
