Unnamed: 0,NYG,ATL,week,year,game_id
First Downs,14,22,16.0,2024,228
Rush-Yds-TDs,13-45-0,38-127-2,16.0,2024,228
Cmp-Att-Yd-TD-INT,22-39-210-1-2,18-27-202-0-1,16.0,2024,228
Sacked-Yards,3-21,0-0,16.0,2024,228
Net Pass Yards,189,202,16.0,2024,228
Total Yards,234,329,16.0,2024,228
Fumbles-Lost,1-1,0-0,16.0,2024,228
Turnovers,3,1,16.0,2024,228
Penalties-Yards,10-85,3-30,16.0,2024,228
Third Down Conv.,3-9,8-14,16.0,2024,228
Fourth Down Conv.,0-1,0-0,16.0,2024,228
Time of Possession,25:32,34:28,16.0,2024,228
