Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Commanders to receive the opening kickoff.",,,16.0,2024,234
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 25 yards,. Penalty on Braden Mann: Short Free Kick (accepted)",0.0,1.6,16.0,2024,234
1.0,15:00,1.0,10.0,WAS 40,0.0,0.0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,1.6,1.05,16.0,2024,234
1.0,14:56,2.0,10.0,WAS 40,0.0,0.0,Jayden Daniels pass incomplete short middle intended for Jamison Crowder (defended by Darius Slay),1.05,0.37,16.0,2024,234
1.0,14:51,3.0,10.0,WAS 40,0.0,0.0,Jayden Daniels pass complete short middle to Brian Robinson for 9 yards (tackle by Zack Baun),0.37,-0.13,16.0,2024,234
1.0,14:15,4.0,1.0,WAS 49,0.0,0.0,Brian Robinson right guard for no gain (tackle by Josh Sweat and Jordan Davis),-0.13,-2.32,16.0,2024,234
1.0,14:11,1.0,10.0,WAS 49,0.0,0.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown,2.32,1.78,16.0,2024,234
1.0,14:07,2.0,10.0,WAS 49,0.0,0.0,Saquon Barkley left end for 19 yards (tackle by Mike Sainristil),1.78,3.58,16.0,2024,234
1.0,13:33,1.0,10.0,WAS 30,0.0,0.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.58,3.03,16.0,2024,234
1.0,13:28,2.0,10.0,WAS 30,0.0,0.0,Kenneth Gainwell left tackle for 1 yard (tackle by Bobby Wagner),3.03,2.48,16.0,2024,234
1.0,12:49,3.0,9.0,WAS 29,0.0,0.0,"Jalen Hurts scrambles up the middle for 6 yards (tackle by Dante Fowler). Penalty on Noah Igbinoghene: Defensive Holding, 5 yards (accepted)",2.48,4.37,16.0,2024,234
1.0,12:25,1.0,10.0,WAS 18,0.0,0.0,Saquon Barkley up the middle for 13 yards (tackle by Jeremy Chinn),4.37,6.06,16.0,2024,234
