Unnamed: 0,ARI,CAR,week,year,game_id
First Downs,23,22,16.0,2024,229
Rush-Yds-TDs,29-206-2,36-243-3,16.0,2024,229
Cmp-Att-Yd-TD-INT,20-32-202-1-1,17-26-158-2-0,16.0,2024,229
Sacked-Yards,3-26,3-9,16.0,2024,229
Net Pass Yards,176,149,16.0,2024,229
Total Yards,382,392,16.0,2024,229
Fumbles-Lost,1-1,0-0,16.0,2024,229
Turnovers,2,0,16.0,2024,229
Penalties-Yards,11-82,9-64,16.0,2024,229
Third Down Conv.,6-13,6-14,16.0,2024,229
Fourth Down Conv.,1-1,2-2,16.0,2024,229
Time of Possession,33:24,33:18,16.0,2024,229
