#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,13:49,DET 33,9,4:14,55,Field Goal,0,Lions,16.0,2024,230
2,1,8:27,CHI 36,7,2:53,36,Touchdown,0,Lions,16.0,2024,230
3,1,3:28,DET 40,7,3:26,44,Field Goal,0,Lions,16.0,2024,230
4,2,13:32,DET 7,2,0:43,93,Touchdown,0,Lions,16.0,2024,230
5,2,6:31,DET 30,11,5:33,70,Touchdown,0,Lions,16.0,2024,230
6,2,0:39,DET 34,6,0:39,19,Missed FG,0,Lions,16.0,2024,230
7,3,15:00,DET 21,5,2:42,79,Touchdown,0,Lions,16.0,2024,230
8,3,6:03,DET 40,11,6:12,47,Downs,0,Lions,16.0,2024,230
9,4,8:13,DET 12,6,2:37,15,Punt,0,Lions,16.0,2024,230
10,4,2:30,DET 11,4,2:30,12,End of Game,0,Lions,16.0,2024,230
