Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA,week,year,game_id
1.0,2:49,1.0,10.0,TAM 30,0.0,10.0,Baker Mayfield pass complete short middle to Payne Durham for 6 yards (tackle by Nick Vigil),0.94,1.2,16.0,2024,239
1.0,2:05,2.0,4.0,TAM 36,0.0,10.0,Baker Mayfield pass incomplete deep middle intended for Sterling Shepard (defended by Jourdan Lewis),1.2,0.5,16.0,2024,239
1.0,1:59,3.0,4.0,TAM 36,0.0,10.0,Baker Mayfield pass complete short right to Rachaad White for 3 yards (tackle by Amani Oruwariye and Chauncey Golston),0.5,-0.78,16.0,2024,239
1.0,1:19,4.0,1.0,TAM 39,0.0,10.0,"Jack Browning punts 41 yards, fair catch by KaVontae Turpin at DAL-20",-0.78,-0.28,16.0,2024,239
1.0,1:12,1.0,10.0,DAL 20,0.0,10.0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",0.28,-0.31,16.0,2024,239
1.0,1:12,1.0,15.0,DAL 15,0.0,10.0,Cooper Rush pass complete short middle to Rico Dowdle for 10 yards (tackle by Lavonte David and Tykee Smith),-0.31,0.41,16.0,2024,239
1.0,0:39,2.0,5.0,DAL 25,0.0,10.0,Rico Dowdle up the middle for -3 yards (tackle by Lavonte David),0.41,-0.69,16.0,2024,239
2.0,15:00,3.0,8.0,DAL 22,0.0,10.0,Cooper Rush pass incomplete short right intended for Jake Ferguson,-0.69,-1.9,16.0,2024,239
2.0,14:55,4.0,8.0,DAL 22,0.0,10.0,"Bryan Anger punts 47 yards, returned by Trey Palmer for 7 yards (tackle by Israel Mukuamu). Penalty on C.J. Goodwin: Player Out of Bounds on Kick, 5 yards (accepted)",-1.9,-1.8,16.0,2024,239
2.0,14:45,1.0,10.0,TAM 43,0.0,10.0,Bucky Irving left guard for 3 yards (tackle by Osa Odighizuwa and Malik Hooker),1.8,1.66,16.0,2024,239
2.0,14:02,2.0,7.0,TAM 46,0.0,10.0,Baker Mayfield pass complete deep left to Mike Evans for 26 yards (tackle by DaRon Bland),1.66,3.71,16.0,2024,239
2.0,13:32,1.0,10.0,DAL 28,0.0,10.0,Baker Mayfield pass complete short right to Mike Evans for 3 yards (tackle by Marist Liufau),3.71,3.57,16.0,2024,239
2.0,12:53,2.0,7.0,DAL 25,0.0,10.0,Bucky Irving up the middle for 15 yards (tackle by Malik Hooker),3.57,4.91,16.0,2024,239
2.0,12:13,1.0,10.0,DAL 10,0.0,10.0,Bucky Irving left end for 8 yards (tackle by Micah Parsons),4.91,5.72,16.0,2024,239
2.0,11:34,2.0,2.0,DAL 2,6.0,10.0,"Bucky Irving right end for 2 yards, touchdown",5.72,7.0,16.0,2024,239
2.0,11:30,,,DAL 15,7.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,16.0,2024,239
2.0,11:30,,,TAM 35,7.0,10.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,239
