Quarter,Time,Tm,Detail,NWE,BUF,week,year,game_id
1.0,12:01,Patriots,Kayshon Boutte 28 yard pass from Drake Maye (Joey Slye kick),7,0,16.0,2024,236
2.0,14:16,Patriots,Rhamondre Stevenson 14 yard rush (Joey Slye kick),14,0,16.0,2024,236
,11:56,Bills,James Cook 46 yard rush (Tyler Bass kick),14,7,16.0,2024,236
3.0,9:41,Bills,James Cook 4 yard pass from Josh Allen (Tyler Bass kick),14,14,16.0,2024,236
,6:02,Bills,Tyler Bass 50 yard field goal,14,17,16.0,2024,236
4.0,10:10,Bills,Taron Johnson fumble recovery in end zone (Tyler Bass kick),14,24,16.0,2024,236
,1:13,Patriots,Hunter Henry 9 yard pass from Drake Maye (Joey Slye kick),21,24,16.0,2024,236
