Unnamed: 0,TEN,IND,week,year,game_id
First Downs,18,19,16.0,2024,232
Rush-Yds-TDs,22-65-2,50-335-4,16.0,2024,232
Cmp-Att-Yd-TD-INT,23-34-252-2-3,7-11-131-1-1,16.0,2024,232
Sacked-Yards,1-10,1-8,16.0,2024,232
Net Pass Yards,242,123,16.0,2024,232
Total Yards,307,458,16.0,2024,232
Fumbles-Lost,0-0,0-0,16.0,2024,232
Turnovers,3,1,16.0,2024,232
Penalties-Yards,4-35,7-62,16.0,2024,232
Third Down Conv.,5-11,8-15,16.0,2024,232
Fourth Down Conv.,0-0,1-1,16.0,2024,232
Time of Possession,26:59,33:01,16.0,2024,232
