Unnamed: 0,DEN,LAC,week,year,game_id
First Downs,22,23,16.0,2024,225
Rush-Yds-TDs,21-110-1,28-117-2,16.0,2024,225
Cmp-Att-Yd-TD-INT,29-40-263-2-0,23-31-284-2-1,16.0,2024,225
Sacked-Yards,2-18,2-21,16.0,2024,225
Net Pass Yards,245,263,16.0,2024,225
Total Yards,355,380,16.0,2024,225
Fumbles-Lost,1-0,1-0,16.0,2024,225
Turnovers,0,1,16.0,2024,225
Penalties-Yards,7-61,2-8,16.0,2024,225
Third Down Conv.,5-13,6-12,16.0,2024,225
Fourth Down Conv.,2-2,0-1,16.0,2024,225
Time of Possession,32:23,27:37,16.0,2024,225
