Unnamed: 0,PIT,BAL,week,year,game_id
First Downs,19,25,16.0,2024,227
Rush-Yds-TDs,24-117-0,38-220-0,16.0,2024,227
Cmp-Att-Yd-TD-INT,22-33-217-2-1,15-23-207-3-1,16.0,2024,227
Sacked-Yards,3-19,1-9,16.0,2024,227
Net Pass Yards,198,198,16.0,2024,227
Total Yards,315,418,16.0,2024,227
Fumbles-Lost,2-1,3-0,16.0,2024,227
Turnovers,2,1,16.0,2024,227
Penalties-Yards,5-29,2-10,16.0,2024,227
Third Down Conv.,4-10,4-10,16.0,2024,227
Fourth Down Conv.,0-1,0-0,16.0,2024,227
Time of Possession,27:35,32:25,16.0,2024,227
