Unnamed: 0,PHI,WAS,week,year,game_id
First Downs,20,23,16.0,2024,234
Rush-Yds-TDs,39-211-2,24-113-0,16.0,2024,234
Cmp-Att-Yd-TD-INT,15-28-154-1-1,24-39-258-5-2,16.0,2024,234
Sacked-Yards,4-27,1-3,16.0,2024,234
Net Pass Yards,127,255,16.0,2024,234
Total Yards,338,368,16.0,2024,234
Fumbles-Lost,2-1,3-3,16.0,2024,234
Turnovers,2,5,16.0,2024,234
Penalties-Yards,10-91,6-93,16.0,2024,234
Third Down Conv.,3-16,7-13,16.0,2024,234
Fourth Down Conv.,3-3,2-3,16.0,2024,234
Time of Possession,36:18,23:42,16.0,2024,234
