Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Mac Jones,JAX,0,0,16.0,2024,237
Tank Bigsby,JAX,1,1,16.0,2024,237
Travis Etienne,JAX,0,0,16.0,2024,237
Brian Thomas,JAX,0,0,16.0,2024,237
Parker Washington,JAX,0,0,16.0,2024,237
Brenton Strange,JAX,1,1,16.0,2024,237
Luke Farrell,JAX,0,0,16.0,2024,237
D'Ernest Johnson,JAX,0,0,16.0,2024,237
Josiah Deguara,JAX,0,0,16.0,2024,237
Devin Duvernay,JAX,1,0,16.0,2024,237
Josh Reynolds,JAX,0,0,16.0,2024,237
Aidan O'Connell,LVR,0,0,16.0,2024,237
Ameer Abdullah,LVR,0,0,16.0,2024,237
Alexander Mattison,LVR,0,0,16.0,2024,237
Brock Bowers,LVR,0,0,16.0,2024,237
Jakobi Meyers,LVR,0,0,16.0,2024,237
Terrace Marshall Jr.,LVR,0,0,16.0,2024,237
Michael Mayer,LVR,0,0,16.0,2024,237
Tre Tucker,LVR,0,0,16.0,2024,237
