Unnamed: 0,MIN,SEA,week,year,game_id
First Downs,19,23,16.0,2024,235
Rush-Yds-TDs,24-81-0,15-59-0,16.0,2024,235
Cmp-Att-Yd-TD-INT,22-35-246-3-0,31-43-314-3-2,16.0,2024,235
Sacked-Yards,3-29,2-12,16.0,2024,235
Net Pass Yards,217,302,16.0,2024,235
Total Yards,298,361,16.0,2024,235
Fumbles-Lost,1-0,0-0,16.0,2024,235
Turnovers,0,2,16.0,2024,235
Penalties-Yards,7-70,11-77,16.0,2024,235
Third Down Conv.,3-12,2-10,16.0,2024,235
Fourth Down Conv.,1-1,1-1,16.0,2024,235
Time of Possession,30:41,29:19,16.0,2024,235
