Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1.0,San Francisco 49ers,17.0,277.0,5110.0,1026.0,5.0,30.0,10.0,291.0,389.0,593.0,3789.0,20.0,20.0,5.9,188.0,389.0,1321.0,11.0,3.4,77.0,96.0,832.0,26.0,25.7,15.3,56.26
2.0,Buffalo Bills,16.0,286.0,5106.0,997.0,5.1,27.0,10.0,313.0,362.0,570.0,3433.0,21.0,17.0,5.6,181.0,387.0,1673.0,10.0,4.3,103.0,89.0,754.0,29.0,31.0,14.3,4.46
3.0,Baltimore Ravens,17.0,315.0,5513.0,1047.0,5.3,25.0,11.0,323.0,394.0,593.0,3947.0,20.0,14.0,6.2,206.0,406.0,1566.0,11.0,3.9,91.0,79.0,650.0,26.0,35.8,13.9,-32.38
4.0,New York Jets,17.0,316.0,5288.0,1093.0,4.8,16.0,4.0,310.0,347.0,556.0,3220.0,15.0,12.0,5.4,166.0,492.0,2068.0,14.0,4.2,117.0,90.0,707.0,27.0,32.3,8.3,25.96
5.0,Cincinnati Bengals,16.0,322.0,5371.0,996.0,5.4,24.0,11.0,295.0,329.0,559.0,3665.0,17.0,13.0,6.2,173.0,407.0,1706.0,12.0,4.2,102.0,100.0,832.0,20.0,36.4,13.1,-20.02
6.0,Dallas Cowboys,17.0,342.0,5613.0,1101.0,5.1,33.0,17.0,327.0,345.0,550.0,3415.0,23.0,16.0,5.7,174.0,497.0,2198.0,9.0,4.4,119.0,98.0,851.0,34.0,33.5,16.2,31.77
7.0,Washington Commanders,17.0,343.0,5178.0,998.0,5.2,18.0,9.0,286.0,308.0,514.0,3252.0,26.0,9.0,5.8,155.0,441.0,1926.0,10.0,4.4,102.0,85.0,707.0,29.0,31.5,7.6,7.28
8.0,Philadelphia Eagles,17.0,344.0,5125.0,1072.0,4.8,27.0,10.0,325.0,350.0,556.0,3057.0,22.0,17.0,4.9,186.0,446.0,2068.0,15.0,4.6,115.0,95.0,798.0,24.0,32.4,15.1,20.73
9.0,New Orleans Saints,17.0,345.0,5352.0,1076.0,5.0,14.0,7.0,319.0,322.0,536.0,3134.0,17.0,7.0,5.4,159.0,492.0,2218.0,14.0,4.5,122.0,92.0,798.0,38.0,34.8,7.1,-30.6
10.0,Pittsburgh Steelers,17.0,346.0,5617.0,1024.0,5.5,23.0,3.0,314.0,332.0,542.0,3779.0,29.0,20.0,6.5,196.0,442.0,1838.0,7.0,4.2,95.0,96.0,717.0,23.0,37.3,13.0,-47.1
11.0,New England Patriots,17.0,347.0,5474.0,1091.0,5.0,30.0,11.0,314.0,364.0,596.0,3681.0,28.0,19.0,5.7,194.0,441.0,1793.0,7.0,4.1,90.0,89.0,699.0,30.0,30.5,14.2,55.35
