Tm,G,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt
Seattle Seahawks,17,126,79,1115,8,195.58,283.6,235.1,11.5,16.7,13.8
Arizona Cardinals,17,129,101,1084,12,185.22,289.2,235.7,10.9,17.0,13.9
Atlanta Falcons,17,132,89,968,7,160.5,250.5,205.0,9.4,14.7,12.1
Miami Dolphins,17,124,98,954,10,154.6,258.6,205.6,9.1,15.2,12.1
Tennessee Titans,17,140,98,1130,6,150.8,254.8,199.8,8.9,15.0,11.8
Detroit Lions,17,105,77,860,11,150.2,228.2,188.7,8.8,13.4,11.1
Tampa Bay Buccaneers,17,114,83,860,9,149.34,232.3,190.8,8.8,13.7,11.2
Jacksonville Jaguars,17,112,81,1066,7,148.8,231.8,189.3,8.8,13.6,11.1
Denver Broncos,17,141,99,1047,7,146.9,245.8,196.3,8.6,14.5,11.5
Kansas City Chiefs,17,115,72,792,9,135.2,207.2,171.2,8.0,12.2,10.1
New England Patriots,17,108,73,686,11,134.6,207.6,171.1,7.9,12.2,10.1
New York Jets,17,133,94,1039,4,134.5,231.5,181.5,7.9,13.6,10.7
Las Vegas Raiders,17,126,90,842,7,134.48,224.5,179.5,7.9,13.2,10.6
New York Giants,17,117,88,922,6,134.3,228.0,178.0,7.9,13.4,10.5
Minnesota Vikings,17,95,67,814,7,134.1,201.9,167.4,7.9,11.9,9.8
Indianapolis Colts,17,106,73,848,7,133.4,205.9,169.4,7.8,12.1,10.0
Los Angeles Rams,17,95,65,698,8,123.56,188.6,156.1,7.3,11.1,9.2
Houston Texans,17,111,76,828,6,121.0,202.9,158.9,7.1,11.9,9.3
Los Angeles Chargers,17,103,63,874,5,120.0,186.0,151.5,7.1,10.9,8.9
Pittsburgh Steelers,17,122,85,897,5,117.8,206.8,160.3,6.9,12.2,9.4
Philadelphia Eagles,17,120,81,801,3,109.66,190.7,150.2,6.5,11.2,8.8
Cincinnati Bengals,16,131,88,924,3,108.74,202.7,152.7,6.8,12.7,9.5
Carolina Panthers,17,102,70,686,6,105.0,176.0,140.0,6.2,10.4,8.2
Green Bay Packers,17,87,60,536,7,102.1,161.9,131.9,6.0,9.5,7.8
Baltimore Ravens,17,102,72,648,6,101.92,173.9,137.9,6.0,10.2,8.1
Cleveland Browns,17,107,64,760,2,100.6,164.6,132.6,5.9,9.7,7.8
San Francisco 49ers,17,109,75,676,4,92.9,167.9,130.4,5.5,9.9,7.7
Chicago Bears,17,87,60,566,6,92.6,154.6,124.6,5.4,9.1,7.3
Washington Commanders,17,99,65,622,5,90.2,159.2,122.7,5.3,9.4,7.2
Dallas Cowboys,17,112,77,629,1,67.6,145.1,105.6,4.0,8.5,6.2
New Orleans Saints,17,108,58,509,2,64.9,122.9,93.9,3.8,7.2,5.5
Buffalo Bills,16,118,82,616,0,62.2,147.0,103.0,3.9,9.2,6.4
