Unnamed: 0,LAR,ARI,week,year,game_id
First Downs,15,23,3.0,2022,45
Rush-Yds-TDs,20-100-2,21-70-0,3.0,2022,45
Cmp-Att-Yd-TD-INT,18-25-249-0-0,37-58-314-0-0,3.0,2022,45
Sacked-Yards,1-10,2-19,3.0,2022,45
Net Pass Yards,239,295,3.0,2022,45
Total Yards,339,365,3.0,2022,45
Fumbles-Lost,1-1,1-0,3.0,2022,45
Turnovers,1,0,3.0,2022,45
Penalties-Yards,6-35,6-50,3.0,2022,45
Third Down Conv.,3-8,6-18,3.0,2022,45
Fourth Down Conv.,0-0,4-5,3.0,2022,45
Time of Possession,26:04,33:56,3.0,2022,45
