Unnamed: 0,SFO,DEN,week,year,game_id
First Downs,13,14,3.0,2022,47
Rush-Yds-TDs,19-88-0,33-101-1,3.0,2022,47
Cmp-Att-Yd-TD-INT,18-29-211-1-1,20-33-184-0-0,3.0,2022,47
Sacked-Yards,4-32,4-24,3.0,2022,47
Net Pass Yards,179,160,3.0,2022,47
Total Yards,267,261,3.0,2022,47
Fumbles-Lost,3-2,2-0,3.0,2022,47
Turnovers,3,0,3.0,2022,47
Penalties-Yards,7-40,5-30,3.0,2022,47
Third Down Conv.,1-10,6-19,3.0,2022,47
Fourth Down Conv.,0-0,0-0,3.0,2022,47
Time of Possession,25:31,34:29,3.0,2022,47
