Unnamed: 0,DAL,NYG,week,year,game_id
First Downs,23,22,3.0,2022,48
Rush-Yds-TDs,30-176-1,25-167-1,3.0,2022,48
Cmp-Att-Yd-TD-INT,21-31-215-1-0,20-37-196-0-1,3.0,2022,48
Sacked-Yards,0-0,5-27,3.0,2022,48
Net Pass Yards,215,169,3.0,2022,48
Total Yards,391,336,3.0,2022,48
Fumbles-Lost,0-0,0-0,3.0,2022,48
Turnovers,0,1,3.0,2022,48
Penalties-Yards,8-70,8-57,3.0,2022,48
Third Down Conv.,5-13,3-11,3.0,2022,48
Fourth Down Conv.,1-1,0-1,3.0,2022,48
Time of Possession,32:42,27:18,3.0,2022,48
