Quarter,Time,Tm,Detail,PHI,WAS,week,year,game_id
2.0,14:53,Eagles,Jake Elliott 32 yard field goal,3,0,3.0,2022,42
,13:18,Eagles,Dallas Goedert 23 yard pass from Jalen Hurts (Jake Elliott kick),10,0,3.0,2022,42
,2:56,Eagles,A.J. Brown 9 yard pass from Jalen Hurts (Jake Elliott kick),17,0,3.0,2022,42
,0:00,Eagles,DeVonta Smith 2 yard pass from Jalen Hurts (Jake Elliott kick),24,0,3.0,2022,42
4.0,14:06,Commanders,"Safety, Boston Scott tackled in end zone by Daron Payne",24,2,3.0,2022,42
,1:55,Commanders,Antonio Gibson 1 yard rush (pass failed),24,8,3.0,2022,42
