Quarter,Time,Tm,Detail,DET,MIN,week,year,game_id
1.0,6:44,Lions,Jamaal Williams 2 yard rush (Austin Seibert kick),7,0,3.0,2022,39
2.0,13:38,Lions,T.J. Hockenson 5 yard pass from Jared Goff (Austin Seibert kick),14,0,3.0,2022,39
,8:50,Vikings,Adam Thielen 1 yard pass from Kirk Cousins (Greg Joseph kick),14,7,3.0,2022,39
,1:12,Vikings,Dalvin Cook 4 yard rush (Greg Joseph kick),14,14,3.0,2022,39
3.0,8:36,Lions,Austin Seibert 40 yard field goal,17,14,3.0,2022,39
,2:08,Lions,Jamaal Williams 13 yard rush (Austin Seibert kick),24,14,3.0,2022,39
4.0,7:50,Vikings,Alexander Mattison 6 yard rush (Greg Joseph kick),24,21,3.0,2022,39
,0:45,Vikings,K.J. Osborn 28 yard pass from Kirk Cousins (Greg Joseph kick),24,28,3.0,2022,39
