Unnamed: 0,CIN,NYJ,week,year,game_id
First Downs,20,19,3.0,2022,37
Rush-Yds-TDs,28-69-0,20-76-0,3.0,2022,37
Cmp-Att-Yd-TD-INT,23-36-275-3-0,28-52-285-0-2,3.0,2022,37
Sacked-Yards,2-14,4-33,3.0,2022,37
Net Pass Yards,261,252,3.0,2022,37
Total Yards,330,328,3.0,2022,37
Fumbles-Lost,2-1,3-2,3.0,2022,37
Turnovers,1,4,3.0,2022,37
Penalties-Yards,5-30,4-55,3.0,2022,37
Third Down Conv.,7-14,7-18,3.0,2022,37
Fourth Down Conv.,0-1,0-3,3.0,2022,37
Time of Possession,32:24,27:36,3.0,2022,37
