Quarter,Time,Tm,Detail,KAN,IND,week,year,game_id
1.0,12:24,Colts,Jelani Woods 1 yard pass from Matt Ryan (Chase McLaughlin kick),0,7,3.0,2022,38
,0:34,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Matt Ammendola kick failed),6,7,3.0,2022,38
2.0,9:40,Colts,Chase McLaughlin 43 yard field goal,6,10,3.0,2022,38
,1:46,Chiefs,Clyde Edwards-Helaire 1 yard rush (Travis Kelce pass from Patrick Mahomes),14,10,3.0,2022,38
3.0,7:56,Chiefs,Matt Ammendola 26 yard field goal,17,10,3.0,2022,38
,2:53,Colts,Chase McLaughlin 51 yard field goal,17,13,3.0,2022,38
4.0,0:24,Colts,Jelani Woods 12 yard pass from Matt Ryan (Chase McLaughlin kick),17,20,3.0,2022,38
