Unnamed: 0,KAN,IND,week,year,game_id
First Downs,20,19,3.0,2022,38
Rush-Yds-TDs,23-58-1,27-82-0,3.0,2022,38
Cmp-Att-Yd-TD-INT,20-36-262-1-1,27-37-222-2-0,3.0,2022,38
Sacked-Yards,1-5,5-45,3.0,2022,38
Net Pass Yards,257,177,3.0,2022,38
Total Yards,315,259,3.0,2022,38
Fumbles-Lost,2-1,2-1,3.0,2022,38
Turnovers,2,1,3.0,2022,38
Penalties-Yards,6-45,4-34,3.0,2022,38
Third Down Conv.,3-10,6-15,3.0,2022,38
Fourth Down Conv.,1-2,1-3,3.0,2022,38
Time of Possession,26:28,33:32,3.0,2022,38
