Unnamed: 0,PHI,WAS,week,year,game_id
First Downs,21,20,3.0,2022,42
Rush-Yds-TDs,30-72-0,22-87-1,3.0,2022,42
Cmp-Att-Yd-TD-INT,22-35-340-3-0,25-43-211-0-0,3.0,2022,42
Sacked-Yards,3-12,9-58,3.0,2022,42
Net Pass Yards,328,153,3.0,2022,42
Total Yards,400,240,3.0,2022,42
Fumbles-Lost,1-0,2-1,3.0,2022,42
Turnovers,0,1,3.0,2022,42
Penalties-Yards,5-52,4-48,3.0,2022,42
Third Down Conv.,5-15,6-17,3.0,2022,42
Fourth Down Conv.,2-3,0-2,3.0,2022,42
Time of Possession,27:06,32:54,3.0,2022,42
