Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Bears to receive the opening kickoff.",,,3.0,2022,36
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,"Justin Fields aborted snap, recovered by Justin Fields at CHI-24 and returned for -1 yards Justin Fields for no gain",0.61,-0.07,3.0,2022,36
1.0,14:26,2.0,11.0,CHI 24,0.0,0.0,Justin Fields pass complete short right to Byron Pringle for 11 yards,-0.07,1.27,3.0,2022,36
1.0,13:52,1.0,10.0,CHI 35,0.0,0.0,Justin Fields pass incomplete short left intended for Darnell Mooney (defended by Desmond King),1.27,0.72,3.0,2022,36
1.0,13:49,2.0,10.0,CHI 35,0.0,0.0,David Montgomery left end for 1 yard (tackle by Kamu Grugier-Hill),0.72,0.17,3.0,2022,36
1.0,13:09,3.0,9.0,CHI 36,0.0,0.0,Justin Fields scrambles for 29 yards (tackle by Christian Kirksey),0.17,3.25,3.0,2022,36
1.0,12:22,1.0,10.0,HOU 35,0.0,0.0,Justin Fields pass incomplete short right,3.25,2.7,3.0,2022,36
1.0,12:16,2.0,10.0,HOU 35,0.0,0.0,Justin Fields pass incomplete short left intended for Equanimeous St. Brown,2.7,2.01,3.0,2022,36
1.0,12:10,3.0,10.0,HOU 35,0.0,0.0,David Montgomery right guard for 5 yards (tackle by Ogbonnia Okoronkwo),2.01,1.45,3.0,2022,36
1.0,11:27,4.0,5.0,HOU 30,0.0,3.0,Cairo Santos 47 yard field goal good,1.45,3.0,3.0,2022,36
1.0,11:22,,,CHI 35,0.0,3.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
1.0,11:22,1.0,10.0,HOU 25,0.0,3.0,Dameon Pierce left tackle for 4 yards (tackle by Justin Jones and Al-Quadin Muhammad),0.61,0.6,3.0,2022,36
1.0,10:43,2.0,6.0,HOU 29,0.0,3.0,Dameon Pierce left guard for 2 yards (tackle by Angelo Blackson and Nicholas Morrow),0.6,0.17,3.0,2022,36
1.0,10:15,3.0,4.0,HOU 31,0.0,3.0,Davis Mills pass incomplete short right intended for Jordan Akins,0.17,-1.31,3.0,2022,36
1.0,10:11,4.0,4.0,HOU 31,0.0,3.0,"Cameron Johnston punts 51 yards, returned by Dante Pettis for 1 yard (tackle by Eric Murray)",-1.31,-0.15,3.0,2022,36
1.0,10:01,1.0,10.0,CHI 19,0.0,3.0,Equanimeous St. Brown left end for 41 yards (tackle by Desmond King),0.15,2.92,3.0,2022,36
