Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,3.0,2022,48
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,48
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 15 yards (tackle by Adoree' Jackson and Austin Calitro),0.61,1.6,3.0,2022,48
1.0,14:27,1.0,10.0,DAL 40,0.0,0.0,Tony Pollard left end for 14 yards (tackle by Julian Love),1.6,2.52,3.0,2022,48
1.0,13:51,1.0,10.0,NYG 46,0.0,0.0,Ezekiel Elliott left tackle for 2 yards (tackle by Cordale Flott),2.52,2.25,3.0,2022,48
1.0,13:17,2.0,8.0,NYG 44,0.0,0.0,"Ezekiel Elliott right guard for 6 yards (tackle by Xavier McKinney and Justin Ellis). Penalty on Matt Farniok: Offensive Holding, 10 yards (accepted) (no play)",2.25,0.9,3.0,2022,48
1.0,12:45,2.0,18.0,DAL 46,0.0,0.0,Cooper Rush pass incomplete short left intended for Jake Ferguson,0.9,0.23,3.0,2022,48
1.0,12:41,3.0,18.0,DAL 46,0.0,0.0,Cooper Rush pass complete short right to Peyton Hendershot for 4 yards (tackle by Cordale Flott and Julian Love),0.23,-0.06,3.0,2022,48
1.0,12:04,4.0,14.0,DAL 50,0.0,0.0,"Bryan Anger punts 39 yards, returned by Richie James for 1 yard (tackle by Kelvin Joseph)",-0.06,0.35,3.0,2022,48
1.0,11:53,1.0,10.0,NYG 12,0.0,0.0,Daniel Jones pass complete short right to Richie James for 8 yards (tackle by Jourdan Lewis),-0.35,0.29,3.0,2022,48
1.0,11:19,2.0,2.0,NYG 20,0.0,0.0,Saquon Barkley left tackle for -1 yards (tackle by Micah Parsons and Quinton Bohanna),0.29,-0.6,3.0,2022,48
1.0,10:51,3.0,3.0,NYG 19,0.0,0.0,"Daniel Jones pass incomplete short left intended for Saquon Barkley. Penalty on Anthony Barr: Defensive Holding, 5 yards (accepted) (no play)",-0.6,0.54,3.0,2022,48
1.0,10:46,1.0,10.0,NYG 24,0.0,0.0,Daniel Jones sacked by DeMarcus Lawrence for -4 yards,0.54,-0.54,3.0,2022,48
1.0,10:04,2.0,14.0,NYG 20,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 13 yards (tackle by Malik Hooker and Leighton Vander Esch),-0.54,0.5,3.0,2022,48
1.0,9:33,3.0,1.0,NYG 33,0.0,0.0,Daniel Jones pass complete short right to Sterling Shepard for 10 yards (tackle by Donovan Wilson),0.5,1.8,3.0,2022,48
1.0,9:05,1.0,10.0,NYG 43,0.0,0.0,Daniel Jones pass complete short middle to Daniel Bellinger for 8 yards (tackle by Jourdan Lewis),1.8,2.33,3.0,2022,48
1.0,8:35,2.0,2.0,DAL 49,0.0,0.0,Daniel Jones pass complete short left to Daniel Bellinger for 20 yards (tackle by Donovan Wilson),2.33,3.64,3.0,2022,48
1.0,8:04,1.0,10.0,DAL 29,0.0,0.0,Daniel Jones pass incomplete short middle intended for Kenny Golladay (defended by Trevon Diggs),3.64,3.1,3.0,2022,48
1.0,7:59,2.0,10.0,DAL 29,0.0,0.0,Daniel Jones pass incomplete short middle intended for Sterling Shepard (defended by Trevon Diggs),3.1,2.41,3.0,2022,48
1.0,7:55,3.0,10.0,DAL 29,0.0,0.0,Daniel Jones pass incomplete deep left,2.41,1.5,3.0,2022,48
