Unnamed: 0,LVR,TEN,week,year,game_id
First Downs,24,19,3.0,2022,41
Rush-Yds-TDs,19-96-0,27-109-2,3.0,2022,41
Cmp-Att-Yd-TD-INT,27-45-307-2-1,19-27-264-1-1,3.0,2022,41
Sacked-Yards,1-7,1-12,3.0,2022,41
Net Pass Yards,300,252,3.0,2022,41
Total Yards,396,361,3.0,2022,41
Fumbles-Lost,1-0,1-0,3.0,2022,41
Turnovers,1,1,3.0,2022,41
Penalties-Yards,6-44,7-85,3.0,2022,41
Third Down Conv.,1-12,5-10,3.0,2022,41
Fourth Down Conv.,3-3,0-1,3.0,2022,41
Time of Possession,30:45,29:15,3.0,2022,41
